,Game Date,Play ID,Play Type,Play Type NFL,Punt Inside Twenty,Possession Team,Home Team,Away Team,Home Score,Away Score,Total Home Score,Total Away Score,Win Percentage,Defensive Win Percentage,Game Hald,Return Yards,Return Touchdown,Game Seconds Remaining,Game ID,Return Team,Score on resulting drive,# of Plays on Resulting Drive,Yards on Resulting Drive,Points Scored off Return/Resulting Drive,Drive After Return Length (Seconds),Return Team Possessions Before Return,Return Team Possession After Return,Yards Per Play on Resulting Drive,score differential before ret (ret - punt),ret team winning before ret,Return Team Won,Points scored by ret team after ret,points scored by punt team after ret,time expired on next drive,time left after drive after ret,ret team points before ret,punt team points before ret,ret team final points,punt team final points,score difference at punt (ret-punt),final score difference. (ret-punt),score difference change from (final - at punt),points per drive before ret,points per drive after ret,time to score each point after ret,time to score each point on next poss after ret (seconds),Sub 32 degrees/15 mph wind?,Degree of Precipitation
142,2017-09-10,3428,punt,PUNT,0,ARI,DET,ARI,35,23,15,17,0.56113213,0.43886787,Half2,24,0,869,2017_01_ARI_DET,DET,1,10,67,6,289,10,3,6.7,-2,-1,1,20,6,0,580,15,17,35,23,-2,12,14,1.5,6.666666667,43.45,48.16666667,0,0
932,2017-09-10,1376,punt,PUNT,0,JAX,HOU,JAX,7,29,0,6,0.6205539,0.3794461,Half1,21,0,2331,2017_01_JAX_HOU,HOU,0,3,15,0,66,4,7,5,-6,-1,-1,7,23,0,2265,0,6,7,29,-6,-22,-16,0,1,333,#DIV/0!,0,0
1312,2017-09-11,1262,punt,PUNT,0,LAC,DEN,LAC,24,21,7,7,0.39457574,0.6054243,Half1,31,0,2420,2017_01_LAC_DEN,DEN,1,9,56,7,278,3,9,6.222222222,0,0,1,17,14,0,2142,7,7,24,21,0,3,3,2.333333333,1.888888889,142.3529412,39.71428571,0,0
1912,2017-09-10,3678,punt,PUNT,0,BUF,BUF,NYJ,21,12,21,12,0.88663703,0.11336297,Half2,25,0,466,2017_01_NYJ_BUF,NYJ,0,3,2,0,58,9,3,0.6666666667,-9,-1,-1,0,0,0,408,12,21,12,21,-9,-9,0,1.333333333,0,#DIV/0!,#DIV/0!,0,0
2361,2017-09-10,1580,punt,PUNT,0,PIT,CLE,PIT,18,21,7,7,0.43148053,0.5685195,Half1,25,0,2130,2017_01_PIT_CLE,CLE,0,3,4,0,86,4,6,1.333333333,0,0,-1,11,14,0,2044,7,7,18,21,0,-3,-3,1.75,1.833333333,193.6363636,#DIV/0!,0,0
3417,2017-09-17,1622,punt,PUNT,0,DAL,DEN,DAL,42,17,14,7,0.17527275,0.82472724,Half1,20,0,2076,2017_02_DAL_DEN,DEN,1,8,51,7,162,4,8,6.375,7,1,1,28,10,0,1914,14,7,42,17,7,25,18,3.5,3.5,74.14285714,23.14285714,0,0
3659,2017-09-18,2722,punt,PUNT,0,NYG,NYG,DET,10,24,10,23,0.14083874,0.85916126,Half2,88,1,797,2017_02_DET_NYG,DET,0,3,4,7,134,3,7,1.333333333,13,1,1,1,0,0,663,23,10,24,10,13,14,1,7.666666667,0.1428571429,797,19.14285714,0,0
3889,2017-09-14,124,punt,PUNT,0,HOU,CIN,HOU,9,13,0,0,0.35760528,0.6423947,Half1,33,0,3554,2017_02_HOU_CIN,CIN,0,4,-7,0,119,0,13,-1.75,0,0,-1,9,13,0,3435,0,0,9,13,0,-4,-4,#DIV/0!,0.6923076923,394.8888889,#DIV/0!,0,0
3911,2017-09-14,673,punt,PUNT,0,HOU,CIN,HOU,9,13,0,0,0.34696323,0.6530368,Half1,26,0,3028,2017_02_HOU_CIN,CIN,0,1,7,0,41,2,11,7,0,0,-1,9,13,0,2987,0,0,9,13,0,-4,-4,0,0.8181818182,336.4444444,#DIV/0!,0,0
4095,2017-09-17,735,punt,PUNT,0,MIA,LAC,MIA,17,19,0,3,0.55264133,0.44735867,Half1,23,0,2791,2017_02_MIA_LAC,LAC,1,6,23,3,156,2,6,3.833333333,-3,-1,-1,17,16,0,2635,0,3,17,19,-3,-2,1,0,2.833333333,164.1764706,52,0,0
5007,2017-09-17,1366,punt,PUNT,0,SEA,SEA,SF,12,9,6,0,0.6420467,0.3579533,Half1,21,0,2398,2017_02_SF_SEA,SF,0,4,17,0,120,3,8,4.25,-6,-1,-1,9,6,0,2278,0,6,9,12,-6,-3,3,0,1.125,266.4444444,#DIV/0!,0,1
5233,2017-09-17,2499,punt,PUNT,0,JAX,JAX,TEN,16,37,3,9,0.21691199,0.783088,Half2,46,0,1359,2017_02_TEN_JAX,TEN,1,2,34,7,46,7,4,17,6,1,1,28,13,0,1313,9,3,37,16,6,21,15,1.285714286,7,48.53571429,6.571428571,0,0
5569,2017-09-24,2162,punt,PUNT,0,DET,DET,ATL,26,30,13,20,0.22118329,0.7788167,Half2,27,0,1725,2017_03_ATL_DET,ATL,1,5,19,3,115,5,6,3.8,7,1,1,10,13,0,1610,20,13,30,26,7,4,-3,4,1.666666667,172.5,38.33333333,0,0
5874,2017-09-24,726,punt,PUNT,0,CIN,GB,CIN,27,24,7,7,0.38549477,0.61450523,Half1,33,0,2921,2017_03_CIN_GB,GB,0,3,-7,0,83,1,11,-2.333333333,0,0,1,20,17,0,2838,7,7,27,24,0,3,3,7,1.818181818,146.05,#DIV/0!,0,0
5949,2017-09-24,2407,punt,PUNT,0,GB,GB,CIN,27,24,14,21,0.21046437,0.78953564,Half2,20,0,1236,2017_03_CIN_GB,CIN,0,6,17,0,162,5,4,2.833333333,7,1,-1,3,13,0,1074,21,14,24,27,7,-3,-10,4.2,0.75,412,#DIV/0!,0,0
6293,2017-09-25,1548,punt,PUNT,0,ARI,ARI,DAL,17,28,7,0,0.6619669,0.33803308,Half1,21,0,1955,2017_03_DAL_ARI,DAL,1,3,33,7,70,3,8,11,-7,-1,1,28,10,0,1885,0,7,28,17,-7,11,18,0,3.5,69.82142857,10,0,0
6614,2017-09-24,121,punt,PUNT,0,HOU,NE,HOU,36,33,0,0,0.3466623,0.6533377,Half1,33,0,3525,2017_03_HOU_NE,NE,1,7,51,7,179,0,12,7.285714286,0,0,1,36,33,0,3346,0,0,36,33,0,3,3,#DIV/0!,3,97.91666667,25.57142857,0,0
6701,2017-09-24,2103,punt,PUNT,0,HOU,NE,HOU,36,33,21,20,0.39205194,0.60794806,Half1,20,0,1873,2017_03_HOU_NE,NE,0,4,16,0,62,7,5,4,1,1,1,15,13,1,1811,21,20,36,33,1,3,2,3,3,124.8666667,#DIV/0!,0,0
8122,2017-09-24,1906,punt,PUNT,0,SEA,TEN,SEA,33,27,6,0,0.24251816,0.7574818,Half1,22,0,2028,2017_03_SEA_TEN,TEN,0,3,6,0,85,6,8,2,6,1,1,27,27,0,1943,6,0,33,27,6,6,0,1,3.375,75.11111111,#DIV/0!,0,0
8959,2017-10-01,595,punt,PUNT,0,CLE,CLE,CIN,7,31,0,0,0.45458785,0.5454122,Half1,40,0,3032,2017_04_CIN_CLE,CIN,1,9,35,7,321,2,8,3.888888889,0,0,1,31,7,0,2711,0,0,31,7,0,24,24,0,3.875,97.80645161,45.85714286,0,0
10312,2017-10-01,2387,punt,PUNT,0,OAK,DEN,LV,16,10,13,7,0.1712744,0.8287256,Half2,29,0,1346,2017_04_OAK_DEN,DEN,1,5,3,3,127,7,4,0.6,6,1,1,3,3,0,1219,13,7,16,10,6,6,0,1.857142857,0.75,448.6666667,42.33333333,1,0
11351,2017-10-08,554,punt,PUNT,0,ARI,PHI,ARI,34,7,7,0,0.21315813,0.78684187,Half1,76,0,3044,2017_05_ARI_PHI,PHI,1,3,15,7,90,1,9,5,7,1,1,27,7,0,2954,7,0,34,7,7,27,20,7,3,112.7407407,12.85714286,0,1
11812,2017-10-08,3533,punt,PUNT,0,CIN,CIN,BUF,20,16,17,13,0.6391709,0.36082911,Half2,40,0,652,2017_05_BUF_CIN,BUF,1,4,2,3,98,11,2,0.5,-4,-1,-1,3,3,0,554,13,17,16,20,-4,-4,0,1.181818182,1.5,217.3333333,32.66666667,0,2
12522,2017-10-08,3430,punt,PUNT,0,HOU,HOU,KC,34,42,20,38,0.042438928,0.9575611,Half2,82,1,461,2017_05_KC_HOU,KC,0,4,24,7,118,8,3,6,18,1,1,4,14,0,343,38,20,42,34,18,8,-10,4.75,1.333333333,115.25,16.85714286,0,0
12538,2017-10-08,3796,punt,PUNT,0,KC,HOU,KC,34,42,20,39,0.999114,0.00088602304,Half2,49,0,221,2017_05_KC_HOU,HOU,1,3,37,7,24,10,2,12.33333333,-19,-1,-1,14,3,0,197,20,39,34,42,-19,-8,11,2,7,15.78571429,3.428571429,0,0
12850,2017-10-09,2013,punt,PUNT,0,CHI,CHI,MIN,17,20,2,3,0.43555835,0.5644417,Half1,21,0,1838,2017_05_MIN_CHI,MIN,0,3,11,0,25,6,5,3.666666667,1,1,1,17,15,1,1813,3,2,20,17,1,3,2,0.5,3.4,108.1176471,#DIV/0!,0,0
13034,2017-10-05,1900,punt,PUNT,0,TB,TB,NE,14,19,7,10,0.41096887,0.5890311,Half1,40,0,1948,2017_05_NE_TB,NE,1,7,22,3,93,5,6,3.142857143,3,1,1,9,7,0,1855,10,7,19,14,3,5,2,2,1.5,216.4444444,31,0,0
13992,2017-10-15,2404,punt,PUNT,0,BAL,BAL,CHI,24,27,3,10,0.22408769,0.7759123,Half2,21,0,1498,2017_06_CHI_BAL,CHI,1,7,66,7,221,7,9,9.428571429,7,1,1,17,21,0,1277,10,3,27,24,7,3,-4,1.428571429,1.888888889,88.11764706,31.57142857,0,0
14064,2017-10-15,4103,punt,PUNT,0,CHI,BAL,CHI,24,27,22,24,0.96500665,0.03499335,Half2,77,1,115,2017_06_CHI_BAL,BAL,0,1,16,7,12,13,2,16,-2,-1,-1,2,3,1,103,22,24,24,27,-2,-3,-1,1.692307692,1,57.5,1.714285714,0,0
14175,2017-10-15,1873,punt,PUNT,0,CLE,HOU,CLE,33,17,24,3,0.043774467,0.9562255,Half1,20,0,1967,2017_06_CLE_HOU,HOU,0,3,-8,0,51,5,7,-2.666666667,21,1,1,9,14,0,1916,24,3,33,17,21,16,-5,4.8,1.285714286,218.5555556,#DIV/0!,0,0
14430,2017-10-15,3759,punt,PUNT,0,NO,NO,DET,52,38,45,24,0.9838769,0.016123116,Half2,26,0,900,2017_06_DET_NO,DET,0,3,-11,0,58,11,7,-3.666666667,-21,-1,-1,14,7,0,842,24,45,38,52,-21,-14,7,2.181818182,2,64.28571429,#DIV/0!,0,0
14441,2017-10-15,4024,punt,PUNT,0,NO,NO,DET,52,38,45,30,0.9958016,0.0041983724,Half2,74,1,675,2017_06_DET_NO,DET,0,5,21,7,94,12,5,4.2,-15,-1,-1,8,7,0,581,30,45,38,52,-15,-14,1,2.5,1.6,84.375,13.42857143,0,0
15649,2017-10-15,2441,punt,PUNT,0,DEN,DEN,NYG,10,23,3,17,0.10064296,0.899357,Half2,20,0,1564,2017_06_NYG_DEN,NYG,1,6,30,3,165,6,5,5,14,1,1,6,7,0,1399,17,3,23,10,14,13,-1,2.833333333,1.2,260.6666667,55,0,0
15772,2017-10-12,1181,punt,PUNT,0,PHI,CAR,PHI,23,28,3,3,0.32648137,0.67351866,Half1,25,0,2568,2017_06_PHI_CAR,CAR,1,4,43,7,119,3,10,10.75,0,0,-1,20,25,0,2449,3,3,23,28,0,-5,-5,1,2,128.4,17,0,0
16062,2017-10-15,3497,punt,PUNT,0,PIT,KC,PIT,13,19,13,19,0.94033855,0.059661448,Half2,32,0,119,2017_06_PIT_KC,KC,0,6,8,0,50,8,1,1.333333333,-6,-1,-1,0,0,0,69,13,19,13,19,-6,-6,0,1.625,0,#DIV/0!,#DIV/0!,0,0
16193,2017-10-15,2951,punt,PUNT,0,WAS,WAS,SF,26,24,17,10,0.7957632,0.2042368,Half2,39,0,1349,2017_06_SF_WAS,SF,0,7,22,0,230,7,5,3.142857143,-7,-1,-1,14,9,0,1119,10,17,24,26,-7,-2,5,1.428571429,2.8,96.35714286,#DIV/0!,0,0
16498,2017-10-22,747,punt,PUNT,0,ARI,LA,ARI,33,0,3,0,0.31666982,0.6833302,Half1,20,0,2835,2017_07_ARI_LA,LA,0,3,4,0,82,1,9,1.333333333,3,1,1,30,0,0,2753,3,0,33,0,3,33,30,3,3.333333333,94.5,#DIV/0!,0,2
16817,2017-10-22,113,punt,PUNT,0,BAL,MIN,BAL,24,16,0,0,0.34368557,0.65631443,Half1,46,0,3488,2017_07_BAL_MIN,MIN,0,1,0,0,12,0,9,0,0,0,1,24,16,0,3476,0,0,24,16,0,8,8,#DIV/0!,2.666666667,145.3333333,#DIV/0!,0,0
17517,2017-10-22,487,punt,PUNT,0,DEN,LAC,DEN,21,0,6,0,0.36597672,0.6340233,Half1,65,1,3164,2017_07_DEN_LAC,LAC,0,3,-4,7,97,1,11,-1.333333333,6,1,1,15,0,0,3067,6,0,21,0,6,21,15,6,1.363636364,210.9333333,13.85714286,0,0
17535,2017-10-22,879,punt,PUNT,0,DEN,LAC,DEN,21,0,7,0,0.21757537,0.7824246,Half1,20,0,2780,2017_07_DEN_LAC,LAC,0,3,-14,0,68,3,9,-4.666666667,7,1,1,14,0,0,2712,7,0,21,0,7,21,14,2.333333333,1.555555556,198.5714286,#DIV/0!,0,0
18971,2017-10-23,509,punt,PUNT,0,WAS,PHI,WAS,34,24,0,3,0.47410896,0.52589107,Half1,22,0,3120,2017_07_WAS_PHI,PHI,0,3,-6,0,101,1,10,-2,-3,-1,1,34,21,0,3019,0,3,34,24,-3,10,13,0,3.4,91.76470588,#DIV/0!,0,0
20233,2017-10-29,631,punt,PUNT,0,IND,CIN,IND,24,23,3,0,0.24707335,0.75292665,Half1,29,0,2967,2017_08_IND_CIN,CIN,0,5,20,0,155,1,8,4,3,1,1,21,23,0,2812,3,0,24,23,3,1,-2,3,2.625,141.2857143,#DIV/0!,0,0
20259,2017-10-29,1275,punt,PUNT,0,CIN,CIN,IND,24,23,3,3,0.5291983,0.4708017,Half1,20,0,2510,2017_08_IND_CIN,IND,1,7,48,7,203,5,8,6.857142857,0,0,-1,20,21,0,2307,3,3,23,24,0,-1,-1,0.6,2.5,125.5,29,0,0
22334,2017-11-05,2817,punt,PUNT,0,CIN,JAX,CIN,23,7,22,7,0.087642446,0.91235757,Half2,63,1,894,2017_09_CIN_JAX,JAX,0,6,21,7,135,6,2,3.5,15,1,1,1,0,0,759,22,7,23,7,15,16,1,3.666666667,0.5,894,19.28571429,0,0
22428,2017-11-05,1253,punt,PUNT,0,PHI,PHI,DEN,51,23,17,3,0.89180297,0.10819703,Half1,44,0,2541,2017_09_DEN_PHI,DEN,1,4,8,3,60,4,7,2,-14,-1,-1,20,34,0,2481,3,17,23,51,-14,-28,-14,0.75,2.857142857,127.05,20,0,0
23202,2017-11-05,2720,punt,PUNT,0,NYG,NYG,LA,17,51,10,34,0.0055261636,0.9944738,Half2,30,0,1393,2017_09_LA_NYG,LA,1,4,45,7,90,7,5,11.25,24,1,1,17,7,0,1303,34,10,51,17,24,34,10,4.857142857,3.4,81.94117647,12.85714286,0,1
23638,2017-11-05,870,punt,PUNT,0,WAS,SEA,WAS,14,17,2,0,0.29303232,0.7069677,Half1,21,0,2826,2017_09_WAS_SEA,SEA,0,3,6,0,88,3,11,2,2,1,-1,12,17,0,2738,2,0,14,17,2,-3,-5,0.6666666667,1.090909091,235.5,#DIV/0!,0,1
23896,2017-11-12,2185,punt,PUNT,0,TEN,TEN,CIN,24,20,17,13,0.61872834,0.38127166,Half2,23,0,1748,2017_10_CIN_TEN,CIN,0,3,-14,0,52,6,6,-4.666666667,-4,-1,-1,7,7,0,1696,13,17,20,24,-4,-4,0,2.166666667,1.166666667,249.7142857,#DIV/0!,0,0
24142,2017-11-12,3447,punt,PUNT,0,CLE,DET,CLE,38,24,31,24,0.08513139,0.9148686,Half2,29,0,332,2017_10_CLE_DET,DET,1,3,44,7,49,9,1,14.66666667,7,1,1,7,0,0,283,31,24,38,24,7,14,7,3.444444444,7,47.42857143,7,0,0
24660,2017-11-12,3163,punt,PUNT,0,HOU,LA,HOU,33,7,16,7,0.1095544,0.8904456,Half2,27,0,1084,2017_10_HOU_LA,LA,1,3,36,7,78,9,3,12,9,1,1,17,0,0,1006,16,7,33,7,9,26,17,1.777777778,5.666666667,63.76470588,11.14285714,0,0
25821,2017-11-12,991,punt,PUNT,0,NYJ,TB,NYJ,15,10,3,0,0.27617586,0.72382414,Half1,44,0,2645,2017_10_NYJ_TB,TB,0,3,-4,0,134,2,9,-1.333333333,3,1,1,12,10,0,2511,3,0,15,10,3,5,2,1.5,1.333333333,220.4166667,#DIV/0!,0,0
26767,2017-11-19,1633,punt,PUNT,0,GB,GB,BAL,0,23,0,3,0.30720565,0.6927943,Half1,28,0,1909,2017_11_BAL_GB,BAL,1,4,9,3,97,4,9,2.25,3,1,1,20,0,0,1812,3,0,23,0,3,23,20,0.75,2.222222222,95.45,32.33333333,2,0
28806,2017-11-19,3393,punt,PUNT,0,WAS,NO,WAS,34,31,13,24,0.9258507,0.07414931,Half2,24,0,694,2017_11_WAS_NO,NO,1,5,27,3,122,7,4,5.4,-11,-1,1,21,7,0,572,13,24,34,31,-11,3,14,1.857142857,5.25,33.04761905,40.66666667,0,0
28894,2017-11-26,699,punt,PUNT,0,KC,KC,BUF,10,16,0,0,0.5474936,0.45250642,Half1,20,0,3065,2017_12_BUF_KC,BUF,1,9,58,7,264,3,9,6.444444444,0,0,1,16,10,0,2801,0,0,16,10,0,6,6,0,1.777777778,191.5625,37.71428571,1,0
29200,2017-11-26,3938,punt,PUNT,0,NYJ,NYJ,CAR,27,35,20,32,0.11331685,0.88668317,Half2,60,1,609,2017_12_CAR_NYJ,CAR,1,0,0,7,0,11,2,#DIV/0!,12,1,1,3,7,0,609,32,20,35,27,12,8,-4,2.909090909,1.5,203,0,0,0
30090,2017-11-27,3745,punt,PUNT,0,BAL,BAL,HOU,23,16,20,16,0.6789017,0.32109833,Half2,21,0,404,2017_12_HOU_BAL,HOU,0,4,6,0,106,9,2,1.5,-4,-1,-1,0,3,0,298,16,20,16,23,-4,-7,-3,1.777777778,0,#DIV/0!,#DIV/0!,0,0
30176,2017-11-26,1431,punt,PUNT,0,JAX,ARI,JAX,27,24,6,0,0.18305449,0.8169455,Half1,20,0,2224,2017_12_JAX_ARI,ARI,1,4,41,7,127,3,12,10.25,6,1,1,21,24,0,2097,6,0,27,24,6,3,-3,2,1.75,105.9047619,18.14285714,0,0
30929,2017-11-26,2227,punt,PUNT,0,NO,LA,NO,26,20,17,10,0.20867002,0.79133,Half2,40,0,1672,2017_12_NO_LA,LA,0,3,2,0,91,6,5,0.6666666667,7,1,1,9,10,0,1581,17,10,26,20,7,6,-1,2.833333333,1.8,185.7777778,#DIV/0!,0,0
32194,2017-12-03,3079,punt,PUNT,0,DEN,MIA,DEN,35,9,26,9,0.025673151,0.97432685,Half2,27,0,1029,2017_13_DEN_MIA,MIA,0,3,5,0,57,10,6,1.666666667,17,1,1,9,0,0,972,26,9,35,9,17,26,9,2.6,1.5,114.3333333,#DIV/0!,0,0
32436,2017-12-03,120,punt,PUNT,0,HOU,TEN,HOU,24,13,0,0,0.4033366,0.59666336,Half1,25,0,3497,2017_13_HOU_TEN,TEN,0,0,0,0,0,0,9,#DIV/0!,0,0,1,24,13,0,3497,0,0,24,13,0,11,11,#DIV/0!,2.666666667,145.7083333,#DIV/0!,0,0
32796,2017-12-03,308,punt,PUNT,0,NYJ,NYJ,KC,38,31,0,7,0.33226654,0.66773343,Half1,24,0,3355,2017_13_KC_NYJ,KC,1,1,36,7,6,1,8,36,7,1,-1,24,38,0,3349,7,0,31,38,7,-7,-14,7,3,139.7916667,0.8571428571,0,0
33081,2017-12-03,2462,punt,PUNT,0,ARI,ARI,LA,16,32,13,19,0.22239318,0.77760684,Half2,30,0,1402,2017_13_LA_ARI,LA,1,6,30,7,180,8,4,5,6,1,1,13,3,0,1222,19,13,32,16,6,16,10,2.375,3.25,107.8461538,25.71428571,0,0
34083,2017-12-03,1489,punt,PUNT,0,SF,CHI,SF,14,15,13,6,0.32386616,0.6761339,Half1,61,1,2172,2017_13_SF_CHI,CHI,1,0,0,7,0,3,4,#DIV/0!,7,1,-1,1,9,0,2172,13,6,14,15,7,-1,-8,4.333333333,0.25,2172,0,0,0
34426,2017-11-30,1561,punt,PUNT,0,WAS,DAL,WAS,38,14,16,0,0.17141554,0.82858443,Half1,83,1,2046,2017_13_WAS_DAL,DAL,1,0,0,7,0,6,5,#DIV/0!,16,1,1,22,14,0,2046,16,0,38,14,16,24,8,2.666666667,4.4,93,0,0,0
35422,2017-12-10,3592,punt,PUNT,0,CLE,CLE,GB,21,27,21,14,0.9049558,0.095044196,Half2,65,0,177,2017_14_GB_CLE,GB,1,7,25,7,140,7,1,3.571428571,-7,-1,1,13,0,0,37,14,21,27,21,-7,6,13,2,13,13.61538462,20,2,0
