,Game Date,Play ID,Play Type,Play Type NFL,Punt Inside Twenty,Possession Team,Home Team,Away Team,Home Score,Away Score,Total Home Score,Total Away Score,Win Percentage,Defensive Win Percentage,Game Hald,Return Yards,Return Touchdown,Game Seconds Remaining,Game ID,Return Team,Score on resulting drive,# of Plays on Resulting Drive,Yards on Resulting Drive,Points Scored off Return/Resulting Drive,Drive After Return Length (Seconds),Return Team Possessions Before Return,Return Team Possession After Return,Yards Per Play on Resulting Drive,score differential before ret (ret - punt),ret team winning before ret,Return Team Won,Points scored by ret team after ret,points scored by punt team after ret,time expired on next drive,time left after drive after ret,ret team points before ret,punt team points before ret,ret team final points,punt team final points,score difference at punt (ret-punt),final score difference. (ret-punt),score difference change from (final - at punt),points per drive before ret,points per drive after ret,time to score each point after ret,time to score each point on next poss after ret (seconds),Sub 32 degrees/15 mph wind?,Degree of Precipitation
35764,2017-12-10,2928,punt,PUNT,0,CAR,CAR,MIN,31,24,24,13,0.88996434,0.11003566,Half2,29,0,930,2017_14_MIN_CAR,MIN,1,4,73,7,88,10,3,18.25,-11,-1,-1,11,7,0,842,13,24,24,31,-11,-7,4,1.3,3.666666667,84.54545455,12.57142857,0,0
36259,2017-12-10,1956,punt,PUNT,0,NYJ,DEN,NYJ,23,0,13,0,0.08210072,0.91789925,Half2,24,0,1682,2017_14_NYJ_DEN,DEN,1,13,68,7,379,5,6,5.230769231,13,1,1,10,0,0,1303,13,0,23,0,13,23,10,2.6,1.666666667,168.2,54.14285714,0,0
36821,2017-12-10,2768,punt,PUNT,0,SEA,JAX,SEA,30,24,17,10,0.17650244,0.82349753,Half2,72,0,1258,2017_14_SEA_JAX,JAX,1,1,1,7,3,8,5,1,7,1,1,13,14,0,1255,17,10,30,24,7,6,-1,2.125,2.6,96.76923077,0.4285714286,0,0
37402,2017-12-10,3469,punt,PUNT,0,WAS,LAC,WAS,30,13,30,6,0.00032277574,0.99967724,Half2,47,0,405,2017_14_WAS_LAC,LAC,0,6,18,0,233,12,2,3,24,1,1,0,7,0,172,30,6,30,13,24,17,-7,2.5,0,#DIV/0!,#DIV/0!,0,0
38860,2017-12-17,849,punt,PUNT,0,HOU,JAX,HOU,45,7,7,0,0.18705785,0.81294215,Half1,26,0,2809,2017_15_HOU_JAX,JAX,1,5,59,7,119,2,12,11.8,7,1,1,38,7,0,2690,7,0,45,7,7,38,31,3.5,3.166666667,73.92105263,17,0,0
39036,2017-12-17,782,punt,PUNT,0,SEA,SEA,LA,7,42,0,6,0.23856962,0.7614304,Half1,53,0,3077,2017_15_LA_SEA,LA,1,1,1,7,3,2,12,1,6,1,1,36,7,0,3074,6,0,42,7,6,35,29,3,3,85.47222222,0.4285714286,0,0
39063,2017-12-17,1385,punt,PUNT,0,SEA,SEA,LA,7,42,0,13,0.11089551,0.8891045,Half1,26,0,2431,2017_15_LA_SEA,LA,1,5,36,7,122,4,10,7.2,13,1,1,29,7,0,2309,13,0,42,7,13,35,22,3.25,2.9,83.82758621,17.42857143,0,0
39088,2017-12-17,2018,punt,PUNT,0,SEA,SEA,LA,7,42,0,27,0.0026662,0.9973338,Half1,26,0,1893,2017_15_LA_SEA,LA,1,3,47,7,51,6,8,15.66666667,27,1,1,15,7,0,1842,27,0,42,7,27,35,8,4.5,1.875,126.2,7.285714286,0,0
39495,2017-12-17,3506,punt,PUNT,0,BUF,BUF,MIA,24,16,24,6,0.99003875,0.009961247,Half2,26,0,586,2017_15_MIA_BUF,MIA,1,6,13,7,95,8,3,2.166666667,-18,-1,-1,10,0,0,491,6,24,16,24,-18,-8,10,0.75,3.333333333,58.6,13.57142857,1,0
40652,2017-12-24,488,punt,PUNT,0,CLE,CHI,CLE,20,3,0,0,0.3857455,0.6142545,Half1,28,0,3104,2017_16_CLE_CHI,CHI,1,9,57,7,311,1,11,6.333333333,0,0,1,20,3,0,2793,0,0,20,3,0,17,17,0,1.818181818,155.2,44.42857143,1,2
42755,2017-12-25,2336,punt,PUNT,0,HOU,HOU,PIT,6,34,0,20,0.028210502,0.9717895,Half2,27,0,1258,2017_16_PIT_HOU,PIT,1,7,42,7,235,6,3,6,20,1,1,14,6,0,1023,20,0,34,6,20,28,8,3.333333333,4.666666667,89.85714286,33.57142857,0,0
42802,2017-12-25,3434,punt,PUNT,0,HOU,HOU,PIT,6,34,6,34,6.04E-05,0.99993956,Half2,21,0,181,2017_16_PIT_HOU,PIT,0,4,10,0,166,9,1,2.5,28,1,1,0,0,1,15,34,6,34,6,28,28,0,3.777777778,0,#DIV/0!,#DIV/0!,0,0
43308,2017-12-31,3502,punt,PUNT,0,ARI,SEA,ARI,24,26,17,23,0.771827,0.22817302,Half2,27,0,686,2017_17_ARI_SEA,SEA,1,2,60,7,47,10,3,30,-6,-1,-1,7,3,0,639,17,23,24,26,-6,-2,4,1.7,2.333333333,98,6.714285714,0,0
43766,2017-12-31,1395,punt,PUNT,0,MIN,MIN,CHI,23,10,14,6,0.89069545,0.10930455,Half1,59,1,2165,2017_17_CHI_MIN,CHI,1,0,0,7,0,5,7,#DIV/0!,-8,-1,-1,4,9,0,2165,6,14,10,23,-8,-13,-5,1.2,0.5714285714,541.25,0,0,0
44500,2017-12-31,1603,punt,PUNT,0,GB,DET,GB,35,11,10,3,0.19771628,0.8022837,Half1,20,0,2113,2017_17_GB_DET,DET,0,3,-5,0,4,8,5,-1.666666667,7,1,1,25,8,0,2109,10,3,35,11,7,24,17,1.25,5,84.52,#DIV/0!,0,0
44587,2017-12-31,3700,punt,PUNT,0,DET,DET,GB,35,11,35,11,0.9997607,0.00023931265,Half2,28,0,146,2017_17_GB_DET,GB,0,7,11,0,106,12,1,1.571428571,-24,-1,-1,0,0,0,40,11,35,11,35,-24,-24,0,0.9166666667,0,#DIV/0!,#DIV/0!,0,0
44736,2017-12-31,3301,punt,PUNT,0,HOU,IND,HOU,22,13,19,13,0.11861545,0.88138455,Half2,30,0,413,2017_17_HOU_IND,IND,1,12,49,3,366,8,1,4.083333333,6,1,1,3,0,0,47,19,13,22,13,6,9,3,2.375,3,137.6666667,122,0,0
45910,2017-12-31,2039,punt,PUNT,0,NYG,NYG,WAS,18,10,15,7,0.7672799,0.23272008,Half1,29,0,1818,2017_17_WAS_NYG,WAS,1,1,0,3,4,7,8,0,-8,-1,-1,3,3,0,1814,7,15,10,18,-8,-8,0,1,0.375,606,1.333333333,2,0
47608,2018-01-21,3543,punt,PUNT,0,JAX,NE,JAX,24,20,17,20,0.5591893,0.44081068,Half2,20,0,310,2017_20_JAX_NE,NE,1,5,30,7,130,10,2,6,-3,-1,1,7,0,0,180,17,20,24,20,-3,4,7,1.7,3.5,44.28571429,18.57142857,0,0
48231,2018-09-09,1136,punt,PUNT,0,BUF,BAL,BUF,47,3,14,0,0.110711694,0.8892883,Half1,51,0,2661,2018_01_BUF_BAL,BAL,1,4,-3,3,49,3,11,-0.75,14,1,1,33,3,0,2612,14,0,47,3,14,44,30,4.666666667,3,80.63636364,16.33333333,0,1
48434,2018-09-09,1149,punt,PUNT,0,GB,GB,CHI,24,23,0,10,0.17933905,0.82066095,Half1,42,0,2345,2018_01_CHI_GB,CHI,0,4,-3,0,123,3,8,-0.75,10,1,-1,13,24,0,2222,10,0,23,24,10,-1,-11,3.333333333,1.625,180.3846154,#DIV/0!,0,0
48788,2018-09-09,1047,punt,PUNT,0,DAL,CAR,DAL,16,8,0,0,0.34798422,0.6520158,Half1,30,0,2553,2018_01_DAL_CAR,CAR,1,7,35,7,208,2,8,5,0,0,1,16,8,0,2345,0,0,16,8,0,8,8,0,2,159.5625,29.71428571,0,0
49309,2018-09-09,117,punt,PUNT,0,LAC,LAC,KC,28,38,0,6,0.51455146,0.48544854,Half1,91,1,3504,2018_01_KC_LAC,KC,1,5,75,14,161,0,11,15,6,1,1,32,28,0,3343,6,0,38,28,6,10,4,#DIV/0!,2.909090909,109.5,11.5,0,0
49694,2018-09-10,469,punt,PUNT,0,DET,DET,NYJ,17,48,7,0,0.742202,0.25779802,Half1,43,0,3129,2018_01_NYJ_DET,NYJ,1,5,32,7,154,2,10,6.4,-7,-1,1,48,10,0,2975,0,7,48,17,-7,31,38,0,4.8,65.1875,22,0,0
49789,2018-09-10,2626,punt,PUNT,0,DET,DET,NYJ,17,48,17,37,0.06731408,0.9326859,Half2,78,1,1340,2018_01_NYJ_DET,NYJ,1,4,4,10,92,8,4,1,20,1,1,11,0,0,1248,37,17,48,17,20,31,11,4.625,2.75,121.8181818,9.2,0,0
49877,2018-09-09,588,punt,PUNT,0,CLE,CLE,PIT,21,21,0,0,0.5479139,0.4520861,Half1,22,0,3094,2018_01_PIT_CLE,PIT,0,4,32,0,62,2,15,8,0,0,0,21,21,0,3032,0,0,21,21,0,0,0,0,1.4,147.3333333,#DIV/0!,0,0
49963,2018-09-09,2632,punt,PUNT,0,CLE,CLE,PIT,21,21,7,14,0.21046437,0.78953564,Half2,20,0,1278,2018_01_PIT_CLE,PIT,1,2,39,7,45,7,10,19.5,7,1,0,7,14,0,1233,14,7,21,21,7,0,-7,2,0.7,182.5714286,6.428571429,0,0
50723,2018-09-09,1993,punt,PUNT,0,MIA,MIA,TEN,27,20,7,3,0.6700858,0.3299142,Half2,26,0,1725,2018_01_TEN_MIA,TEN,0,3,6,0,87,4,9,2,-4,-1,-1,17,20,0,1638,3,7,20,27,-4,-7,-3,0.75,1.888888889,101.4705882,#DIV/0!,0,1
50983,2018-09-09,3706,punt,PUNT,0,WAS,ARI,WAS,6,24,6,24,0.99778146,0.0022185445,Half2,44,0,288,2018_01_WAS_ARI,ARI,0,5,19,0,70,7,2,3.8,-18,-1,-1,0,0,0,218,6,24,6,24,-18,-18,0,0.8571428571,0,#DIV/0!,#DIV/0!,0,0
51067,2018-09-16,1552,punt,PUNT,0,ARI,LA,ARI,34,0,11,0,0.13903555,0.8609644,Half1,60,0,2073,2018_02_ARI_LA,LA,1,8,32,8,258,4,6,4,11,1,1,23,0,0,1815,11,0,34,0,11,34,23,2.75,3.833333333,90.13043478,32.25,0,0
52264,2018-09-16,145,punt,PUNT,0,PIT,PIT,KC,37,42,0,0,0.45431122,0.54568875,Half1,48,0,3562,2018_02_KC_PIT,KC,1,2,10,7,63,0,10,5,0,0,1,42,37,0,3499,0,0,42,37,0,5,5,0,4.2,84.80952381,9,0,0
52658,2018-09-16,815,punt,PUNT,0,NYJ,NYJ,MIA,12,20,0,7,0.30505785,0.6949421,Half1,22,0,2662,2018_02_MIA_NYJ,MIA,0,3,6,0,84,3,8,2,7,1,1,13,12,0,2578,7,0,20,12,7,8,1,2.333333333,1.625,204.7692308,#DIV/0!,0,0
53732,2018-09-17,735,punt,PUNT,0,SEA,CHI,SEA,24,17,7,0,0.2156099,0.7843901,Half1,32,0,2910,2018_02_SEA_CHI,CHI,0,7,17,0,240,1,10,2.428571429,7,1,1,17,17,0,2670,7,0,24,17,7,7,0,7,1.7,171.1764706,#DIV/0!,0,0
54123,2018-09-23,1239,punt,PUNT,0,ARI,ARI,CHI,14,16,14,0,0.8717402,0.12825978,Half1,21,0,2254,2018_03_CHI_ARI,CHI,1,11,71,3,327,3,7,6.454545455,-14,-1,1,16,0,0,1927,0,14,16,14,-14,2,16,0,2.285714286,140.875,109,0,0
55805,2018-09-23,2467,punt,PUNT,0,NYG,HOU,NYG,22,27,9,20,0.84960145,0.15039855,Half2,27,0,1255,2018_03_NYG_HOU,HOU,0,5,28,0,115,6,4,5.6,-11,-1,-1,13,7,0,1140,9,20,22,27,-11,-5,6,1.5,3.25,96.53846154,#DIV/0!,0,0
57482,2018-09-30,3589,punt,PUNT,0,CLE,LV,CLE,45,42,31,28,0.25325602,0.746744,Half2,49,0,748,2018_04_CLE_OAK,LV,1,4,3,3,86,12,6,0.75,3,1,1,14,14,0,662,31,28,45,42,3,3,0,2.583333333,2.333333333,53.42857143,28.66666667,0,0
57999,2018-10-01,568,punt,PUNT,0,DEN,DEN,KC,23,27,3,3,0.46454927,0.5354507,Half1,37,0,2986,2018_04_KC_DEN,KC,0,3,0,0,24,1,8,0,0,0,1,24,20,0,2962,3,3,27,23,0,4,4,3,3,124.4166667,#DIV/0!,0,0
58201,2018-09-30,971,punt,PUNT,0,MIA,NE,MIA,38,7,3,0,0.29388857,0.70611143,Half1,24,0,2660,2018_04_MIA_NE,NE,1,5,67,7,128,2,8,13.4,3,1,1,35,7,0,2532,3,0,38,7,3,31,28,1.5,4.375,76,18.28571429,0,0
59015,2018-09-30,3513,punt,PUNT,0,TEN,TEN,PHI,26,23,20,17,0.80750555,0.19249445,Half2,42,0,114,2018_04_PHI_TEN,PHI,1,6,27,3,85,10,2,4.5,-3,-1,-1,6,6,0,29,17,20,23,26,-3,-3,0,1.7,3,19,28.33333333,0,0
59331,2018-09-30,1942,punt,PUNT,0,SF,LAC,SF,29,27,14,17,0.6123529,0.3876471,Half1,56,0,1830,2018_04_SF_LAC,LAC,1,3,2,3,13,5,7,0.6666666667,-3,-1,1,15,10,0,1817,14,17,29,27,-3,2,5,2.8,2.142857143,122,4.333333333,0,0
59340,2018-09-30,2134,punt,PUNT,0,SF,LAC,SF,29,27,17,17,0.36024317,0.6397568,Half2,21,0,1717,2018_04_SF_LAC,LAC,1,6,51,7,168,6,6,8.5,0,0,1,12,10,0,1549,17,17,29,27,0,2,2,2.833333333,2,143.0833333,24,0,0
60349,2018-10-07,3630,punt,PUNT,0,HOU,HOU,DAL,19,16,16,16,0.44936338,0.55063665,Half2,22,0,220,2018_05_DAL_HOU,DAL,0,3,0,0,104,9,2,0,0,0,-1,0,3,0,116,16,16,16,19,0,-3,-3,1.777777778,0,#DIV/0!,#DIV/0!,0,0
60519,2018-10-07,3120,punt,PUNT,0,DEN,NYJ,DEN,34,16,24,10,0.028635807,0.9713642,Half2,51,0,907,2018_05_DEN_NYJ,NYJ,1,4,-1,3,121,9,3,-0.25,14,1,1,10,6,0,786,24,10,34,16,14,18,4,2.666666667,3.333333333,90.7,40.33333333,0,0
60875,2018-10-04,2618,punt,PUNT,0,NE,NE,IND,38,24,24,3,0.9422372,0.0577628,Half2,33,0,1617,2018_05_IND_NE,IND,1,4,35,7,116,6,6,8.75,-21,-1,-1,21,14,0,1501,3,24,24,38,-21,-14,7,0.5,3.5,77,16.57142857,0,0
61412,2018-10-07,1828,punt,PUNT,0,CIN,CIN,MIA,27,17,0,13,0.2913299,0.70867014,Half1,71,1,1840,2018_05_MIA_CIN,MIA,1,0,0,7,0,4,7,#DIV/0!,13,1,-1,4,27,0,1840,13,0,17,27,13,-10,-23,3.25,0.5714285714,460,0,0,0
62049,2018-10-07,736,punt,PUNT,0,BUF,BUF,TEN,13,12,7,0,0.7435685,0.25643152,Half1,38,0,3019,2018_05_TEN_BUF,TEN,1,7,18,3,207,2,7,2.571428571,-7,-1,-1,12,6,0,2812,0,7,12,13,-7,-1,6,0,1.714285714,251.5833333,69,0,0
62460,2018-10-14,2545,punt,PUNT,0,ARI,MIN,ARI,27,17,20,10,0.085454464,0.91454554,Half2,20,0,1378,2018_06_ARI_MIN,MIN,1,3,43,7,71,9,4,14.33333333,10,1,1,7,7,0,1307,20,10,27,17,10,10,0,2.222222222,1.75,196.8571429,10.14285714,0,0
62609,2018-10-14,1915,punt,PUNT,0,TEN,TEN,BAL,0,21,0,14,0.10131347,0.8986865,Half1,26,0,1835,2018_06_BAL_TEN,BAL,0,3,9,0,17,4,5,3,14,1,1,7,0,0,1818,14,0,21,0,14,21,7,3.5,1.4,262.1428571,#DIV/0!,0,0
63870,2018-10-14,2433,punt,PUNT,0,DEN,DEN,LA,20,23,3,13,0.17805508,0.82194495,Half2,26,0,1525,2018_06_LA_DEN,LA,1,8,58,7,240,6,4,7.25,10,1,1,10,17,0,1285,13,3,23,20,10,3,-7,2.166666667,2.5,152.5,34.28571429,1,0
63960,2018-10-14,178,punt,PUNT,0,CLE,CLE,LAC,14,38,0,0,0.48805323,0.5119468,Half1,32,0,3474,2018_06_LAC_CLE,LAC,1,5,57,7,152,0,12,11.4,0,0,1,38,14,0,3322,0,0,38,14,0,24,24,#DIV/0!,3.166666667,91.42105263,21.71428571,0,0
64009,2018-10-14,1357,punt,PUNT,0,LAC,CLE,LAC,14,38,3,7,0.58731186,0.41268814,Half1,33,0,2402,2018_06_LAC_CLE,CLE,0,3,-1,0,121,4,9,-0.3333333333,-4,-1,-1,11,31,0,2281,3,7,14,38,-4,-24,-20,0.75,1.222222222,218.3636364,#DIV/0!,0,0
64160,2018-10-11,708,punt,PUNT,0,NYG,NYG,PHI,13,34,3,7,0.31983557,0.68016446,Half1,23,0,3003,2018_06_PHI_NYG,PHI,1,6,44,7,201,2,10,7.333333333,4,1,1,27,10,0,2802,7,3,34,13,4,21,17,3.5,2.7,111.2222222,28.71428571,0,0
65677,2018-10-21,3906,punt,PUNT,0,TB,TB,CLE,26,23,23,16,0.8372454,0.1627546,Half2,32,0,170,2018_07_CLE_TB,CLE,1,1,16,7,8,11,2,16,-7,-1,-1,7,3,0,162,16,23,23,26,-7,-3,4,1.454545455,3.5,24.28571429,1.142857143,0,0
66355,2018-10-21,2463,punt,PUNT,0,HOU,JAX,HOU,7,20,0,20,0.95062566,0.049374342,Half2,21,0,1334,2018_07_HOU_JAX,JAX,1,10,47,7,277,7,3,4.7,-20,-1,-1,7,0,0,1057,0,20,7,20,-20,-13,7,0,2.333333333,190.5714286,39.57142857,0,0
66553,2018-10-21,3243,punt,PUNT,0,SF,SF,LA,10,39,10,32,0.0018486602,0.99815136,Half2,36,0,749,2018_07_LA_SF,LA,1,2,13,7,36,9,2,6.5,22,1,1,7,0,0,713,32,10,39,10,22,29,7,3.555555556,3.5,107,5.142857143,0,0
66668,2018-10-21,2078,punt,PUNT,0,NYJ,NYJ,MIN,17,37,7,10,0.3512087,0.6487913,Half1,20,0,1914,2018_07_MIN_NYJ,MIN,0,4,6,0,59,8,8,1.5,3,1,1,27,10,0,1855,10,7,37,17,3,20,17,1.25,3.375,70.88888889,#DIV/0!,0,0
67209,2018-10-22,1153,punt,PUNT,0,ATL,ATL,NYG,23,20,0,0,0.48012182,0.51987815,Half1,21,0,2256,2018_07_NYG_ATL,NYG,0,3,-8,0,92,2,7,-2.666666667,0,0,-1,20,23,0,2164,0,0,20,23,0,-3,-3,0,2.857142857,112.8,#DIV/0!,0,0
67589,2018-10-28,2345,punt,PUNT,0,CAR,CAR,BAL,36,21,24,7,0.9259585,0.074041486,Half2,23,0,1619,2018_08_BAL_CAR,BAL,0,6,19,0,88,5,5,3.166666667,-17,-1,-1,14,12,0,1531,7,24,21,36,-17,-15,2,1.4,2.8,115.6428571,#DIV/0!,0,0
67693,2018-10-28,651,punt,PUNT,0,CLE,PIT,CLE,33,18,0,3,0.48073223,0.5192678,Half1,23,0,3077,2018_08_CLE_PIT,PIT,0,3,4,0,70,1,10,1.333333333,-3,-1,1,33,15,0,3007,0,3,33,18,-3,15,18,0,3.3,93.24242424,#DIV/0!,0,0
68499,2018-10-25,2736,punt,PUNT,0,HOU,HOU,MIA,42,23,21,10,0.8457071,0.15429288,Half2,21,0,1315,2018_08_MIA_HOU,MIA,1,4,51,7,106,7,4,12.75,-11,-1,-1,13,21,0,1209,10,21,23,42,-11,-19,-8,1.428571429,3.25,101.1538462,15.14285714,0,0
68672,2018-10-29,2817,punt,PUNT,0,NE,BUF,NE,6,25,3,9,0.65419316,0.34580684,Half2,31,0,1469,2018_08_NE_BUF,BUF,1,4,2,3,97,5,6,0.5,-6,-1,-1,3,16,0,1372,3,9,6,25,-6,-19,-13,0.6,0.5,489.6666667,32.33333333,0,0
69038,2018-10-28,2689,punt,PUNT,0,NYJ,CHI,NYJ,24,10,14,3,0.10521804,0.89478195,Half2,21,0,1239,2018_08_NYJ_CHI,CHI,1,10,36,3,332,7,3,3.6,11,1,1,10,7,0,907,14,3,24,10,11,14,3,2,3.333333333,123.9,110.6666667,0,0
69208,2018-10-28,2455,punt,PUNT,0,PHI,JAX,PHI,18,24,12,17,0.5710738,0.42892623,Half2,23,0,1102,2018_08_PHI_JAX,JAX,1,11,37,3,297,6,3,3.363636364,-5,-1,-1,6,7,0,805,12,17,18,24,-5,-6,-1,2,2,183.6666667,99,0,0
70274,2018-11-04,2180,punt,PUNT,0,BUF,BUF,CHI,9,41,0,21,0.059290636,0.94070935,Half1,36,0,1906,2018_09_CHI_BUF,CHI,1,2,23,7,39,5,5,11.5,21,1,1,20,9,0,1867,21,0,41,9,21,32,11,4.2,4,95.3,5.571428571,0,0
70458,2018-11-04,1601,punt,PUNT,0,DET,MIN,DET,24,9,14,6,0.19007862,0.8099214,Half1,24,0,1850,2018_09_DET_MIN,MIN,1,5,51,3,35,4,5,10.2,8,1,1,10,3,0,1815,14,6,24,9,8,15,7,3.5,2,185,11.66666667,0,0
72701,2018-11-11,1139,punt,PUNT,0,NYJ,NYJ,BUF,10,41,0,17,0.118363515,0.8816365,Half1,21,0,2584,2018_10_BUF_NYJ,BUF,1,9,64,7,294,4,7,7.111111111,17,1,1,24,10,0,2290,17,0,41,10,17,31,14,4.25,3.428571429,107.6666667,42,0,0
74195,2018-11-12,123,punt,PUNT,0,NYG,SF,NYG,23,27,0,0,0.34601623,0.6539838,Half1,23,0,3525,2018_10_NYG_SF,SF,1,6,19,3,199,0,11,3.166666667,0,0,-1,23,27,0,3326,0,0,23,27,0,-4,-4,#DIV/0!,2.090909091,153.2608696,66.33333333,0,0
74919,2018-11-18,776,punt,PUNT,0,BAL,BAL,CIN,24,21,7,0,0.77796626,0.22203374,Half1,38,0,2899,2018_11_CIN_BAL,CIN,0,3,3,0,63,2,9,1,-7,-1,-1,21,17,0,2836,0,7,21,24,-7,-3,4,0,2.333333333,138.047619,#DIV/0!,0,0
76574,2018-11-18,1042,punt,PUNT,0,PIT,JAX,PIT,16,20,3,0,0.32268274,0.67731726,Half1,25,0,2537,2018_11_PIT_JAX,JAX,1,6,38,3,208,3,10,6.333333333,3,1,-1,13,20,0,2329,3,0,16,20,3,-4,-7,1,1.3,195.1538462,69.33333333,0,0
76908,2018-11-18,595,punt,PUNT,0,TEN,IND,TEN,38,10,0,0,0.35619316,0.6438068,Half1,51,0,3009,2018_11_TEN_IND,IND,1,7,33,7,216,1,8,4.714285714,0,0,1,38,10,0,2793,0,0,38,10,0,28,28,0,4.75,79.18421053,30.85714286,0,0
77062,2018-11-25,392,punt,PUNT,0,LAC,LAC,ARI,45,10,0,7,0.31625548,0.68374455,Half1,26,0,3204,2018_12_ARI_LAC,ARI,1,8,32,3,227,1,9,4,7,1,-1,3,45,0,2977,7,0,10,45,7,-35,-42,7,0.3333333333,1068,75.66666667,0,0
