,Game Date,Play ID,Play Type,Play Type NFL,Punt Inside Twenty,Possession Team,Home Team,Away Team,Home Score,Away Score,Total Home Score,Total Away Score,Win Percentage,Defensive Win Percentage,Game Hald,Return Yards,Return Touchdown,Game Seconds Remaining,Game ID,Return Team,Score on resulting drive,# of Plays on Resulting Drive,Yards on Resulting Drive,Points Scored off Return/Resulting Drive,Drive After Return Length (Seconds),Return Team Possessions Before Return,Return Team Possession After Return,Yards Per Play on Resulting Drive,score differential before ret (ret - punt),ret team winning before ret,Return Team Won,Points scored by ret team after ret,points scored by punt team after ret,time expired on next drive,time left after drive after ret,ret team points before ret,punt team points before ret,ret team final points,punt team final points,score difference at punt (ret-punt),final score difference. (ret-punt),score difference change from (final - at punt),points per drive before ret,points per drive after ret,time to score each point after ret,time to score each point on next poss after ret (seconds),Sub 32 degrees/15 mph wind?,Degree of Precipitation
191700,2021-01-17,136,punt,PUNT,0,TB,NO,TB,20,30,0,0,0.3893794,0.6106206,Half1,54,0,3516,2020_19_TB_NO,NO,1,6,16,3,108,0,10,2.666666667,0,0,-1,20,30,0,3408,0,0,20,30,0,-10,-10,#DIV/0!,2,175.8,36,0,0
192627,2021-09-13,643,punt,PUNT,0,LV,LV,BAL,33,27,0,0,0.46454927,0.5354507,Half1,22,0,2999,2021_01_BAL_LV,BAL,1,6,65,7,179,1,11,10.83333333,0,0,-1,27,33,0,2820,0,0,27,33,0,-6,-6,0,2.454545455,111.0740741,25.57142857,0,0
192708,2021-09-13,2479,punt,PUNT,0,LV,LV,BAL,33,27,10,14,0.27340218,0.7265978,Half2,30,0,1563,2021_01_BAL_LV,BAL,1,3,-3,3,144,6,6,-1,4,1,-1,13,23,0,1419,14,10,27,33,4,-6,-10,2.333333333,2.166666667,120.2307692,48,0,0
195517,2021-09-19,114,punt,PUNT,0,MIA,MIA,BUF,0,35,0,0,0.45431122,0.54568875,Half1,20,0,3480,2021_02_BUF_MIA,BUF,1,2,46,7,12,0,12,23,0,0,1,35,0,0,3468,0,0,35,0,0,35,35,#DIV/0!,2.916666667,99.42857143,1.714285714,0,0
196165,2021-09-19,2909,punt,PUNT,0,JAX,JAX,DEN,13,23,7,20,0.04841681,0.9515832,Half2,25,0,915,2021_02_DEN_JAX,DEN,0,3,9,0,94,8,2,3,13,1,1,3,6,0,821,20,7,23,13,13,10,-3,2.5,1.5,305,#DIV/0!,0,0
198153,2021-09-26,364,punt,PUNT,0,JAX,JAX,ARI,19,31,0,0,0.4710029,0.52899706,Half1,27,0,3321,2021_03_ARI_JAX,ARI,1,7,56,7,202,1,11,8,0,0,1,31,19,0,3119,0,0,31,19,0,12,12,0,2.818181818,107.1290323,28.85714286,0,0
198551,2021-09-26,1498,punt,PUNT,0,DET,DET,BAL,17,19,0,3,0.36304036,0.6369597,Half1,29,0,2228,2021_03_BAL_DET,BAL,1,8,65,7,219,4,6,8.125,3,1,1,16,17,0,2009,3,0,19,17,3,2,-1,0.75,2.666666667,139.25,31.28571429,0,0
198924,2021-09-26,2126,punt,PUNT,0,CHI,CLE,CHI,26,6,10,3,0.18551904,0.81448096,Half2,23,0,1752,2021_03_CHI_CLE,CLE,1,7,21,3,262,5,5,3,7,1,1,16,3,0,1490,10,3,26,6,7,20,13,2,3.2,109.5,87.33333333,0,0
198985,2021-09-26,3510,punt,PUNT,0,CHI,CLE,CHI,26,6,23,6,0.010319276,0.9896807,Half2,24,0,570,2021_03_CHI_CLE,CLE,1,10,41,3,335,9,1,4.1,17,1,1,3,0,0,235,23,6,26,6,17,20,3,2.555555556,3,190,111.6666667,0,0
199964,2021-09-26,224,punt,PUNT,0,NE,NE,NO,13,28,0,0,0.57158923,0.42841077,Half1,25,0,3468,2021_03_NO_NE,NO,1,11,69,7,298,1,10,6.272727273,0,0,1,28,13,0,3170,0,0,28,13,0,15,15,0,2.8,123.8571429,42.57142857,0,0
201279,2021-10-03,1891,punt,PUNT,0,DEN,DEN,BAL,7,23,7,14,0.21361913,0.7863809,Half1,42,0,1848,2021_04_BAL_DEN,BAL,1,5,4,3,31,6,6,0.8,7,1,1,9,0,0,1817,14,7,23,7,7,16,9,2.333333333,1.5,205.3333333,10.33333333,0,0
201893,2021-10-03,3615,punt,PUNT,0,CHI,CHI,DET,24,14,24,14,0.9150345,0.08496553,Half2,22,0,464,2021_04_DET_CHI,DET,0,12,58,0,196,8,1,4.833333333,-10,-1,-1,0,0,0,268,14,24,14,24,-10,-10,0,1.75,0,#DIV/0!,#DIV/0!,0,0
202906,2021-10-03,3198,punt,PUNT,0,NO,NO,NYG,21,27,21,10,0.9535579,0.04644209,Half2,26,0,434,2021_04_NYG_NO,NYG,1,1,54,8,9,8,3,54,-11,-1,1,17,0,0,425,10,21,27,21,-11,6,17,1.25,5.666666667,25.52941176,1.125,0,0
203514,2021-10-03,647,punt,PUNT,0,NYJ,NYJ,TEN,27,24,0,3,0.36778507,0.6322149,Half1,22,0,2956,2021_04_TEN_NYJ,TEN,1,11,56,3,370,1,12,5.090909091,3,1,-1,21,27,0,2586,3,0,24,27,3,-3,-6,3,1.75,140.7619048,123.3333333,0,0
204182,2021-10-10,2152,punt,PUNT,1,LV,LV,CHI,9,20,3,14,0.1695282,0.8304718,Half2,21,0,1730,2021_05_CHI_LV,CHI,0,3,9,0,114,5,5,3,11,1,1,6,6,0,1616,14,3,20,9,11,11,0,2.8,1.2,288.3333333,#DIV/0!,0,0
206297,2021-10-10,1085,punt,PUNT,0,PHI,CAR,PHI,18,21,10,3,0.21760544,0.7823945,Half1,22,0,2736,2021_05_PHI_CAR,CAR,0,6,23,0,155,3,11,3.833333333,7,1,-1,8,18,0,2581,10,3,18,21,7,-3,-10,3.333333333,0.7272727273,342,#DIV/0!,0,0
206355,2021-10-10,2463,punt,PUNT,0,CAR,CAR,PHI,18,21,15,6,0.81124157,0.18875843,Half2,22,0,1667,2021_05_PHI_CAR,PHI,0,3,16,0,91,8,7,5.333333333,-9,-1,1,15,3,0,1576,6,15,21,18,-9,3,12,0.75,2.142857143,111.1333333,#DIV/0!,0,0
206895,2021-10-17,2787,punt,PUNT,0,ARI,CLE,ARI,14,37,14,23,0.8063057,0.1936943,Half2,21,0,1506,2021_06_ARI_CLE,CLE,0,5,22,0,209,7,3,4.4,-9,-1,-1,0,14,0,1297,14,23,14,37,-9,-23,-14,2,0,#DIV/0!,#DIV/0!,0,0
207408,2021-10-17,2257,punt,PUNT,0,DAL,NE,DAL,29,35,14,10,0.25786287,0.74213713,Half2,23,0,1592,2021_06_DAL_NE,NE,0,3,8,0,122,5,6,2.666666667,4,1,-1,15,25,0,1470,14,10,29,35,4,-6,-10,2.8,2.5,106.1333333,#DIV/0!,0,0
207886,2021-10-17,994,punt,PUNT,0,WAS,WAS,KC,13,31,3,7,0.30293748,0.6970625,Half1,31,0,2632,2021_06_KC_WAS,KC,1,4,7,3,66,2,9,1.75,4,1,1,24,10,0,2566,7,3,31,13,4,18,14,3.5,2.666666667,109.6666667,22,0,0
207972,2021-10-17,3129,punt,PUNT,0,WAS,WAS,KC,13,31,13,17,0.29034477,0.7096552,Half2,25,0,1072,2021_06_KC_WAS,KC,1,8,45,7,216,8,3,5.625,4,1,1,14,0,0,856,17,13,31,13,4,18,14,2.125,4.666666667,76.57142857,30.85714286,0,0
209680,2021-10-24,128,punt,PUNT,0,CHI,TB,CHI,38,3,0,0,0.35344067,0.64655936,Half1,43,0,3484,2021_07_CHI_TB,TB,1,2,32,7,51,0,12,16,0,0,1,38,3,0,3433,0,0,38,3,0,35,35,#DIV/0!,3.166666667,91.68421053,7.285714286,0,0
209901,2021-10-24,1094,punt,PUNT,0,CIN,BAL,CIN,17,41,3,3,0.40415457,0.59584546,Half1,21,0,2515,2021_07_CIN_BAL,BAL,0,6,31,0,256,3,9,5.166666667,0,0,-1,14,38,0,2259,3,3,17,41,0,-24,-24,1,1.555555556,179.6428571,#DIV/0!,0,0
210400,2021-10-24,393,punt,PUNT,0,ARI,ARI,HOU,31,5,0,0,0.48014095,0.5198591,Half1,20,0,3217,2021_07_HOU_ARI,HOU,0,7,18,0,317,1,10,2.571428571,0,0,-1,5,31,0,2900,0,0,5,31,0,-26,-26,0,0.5,643.4,#DIV/0!,0,0
212417,2021-10-31,2427,punt,PUNT,0,JAX,SEA,JAX,31,7,24,0,0.004732318,0.9952677,Half2,20,0,1328,2021_08_JAX_SEA,SEA,0,3,-1,0,236,6,4,-0.3333333333,24,1,1,7,7,0,1092,24,0,31,7,24,24,0,4,1.75,189.7142857,#DIV/0!,0,0
212885,2021-10-31,710,punt,PUNT,0,LAC,LAC,NE,24,27,7,7,0.49344638,0.50655365,Half1,21,0,2875,2021_08_NE_LAC,NE,0,5,11,0,172,1,10,2.2,0,0,1,20,17,0,2703,7,7,27,24,0,3,3,7,2,143.75,#DIV/0!,0,0
212914,2021-10-31,1378,punt,PUNT,0,LAC,LAC,NE,24,27,14,7,0.63896775,0.36103225,Half1,22,0,2224,2021_08_NE_LAC,NE,1,9,30,3,202,3,8,3.333333333,-7,-1,1,20,10,0,2022,7,14,27,24,-7,3,10,2.333333333,2.5,111.2,67.33333333,0,0
212962,2021-10-31,2477,punt,PUNT,0,LAC,LAC,NE,24,27,14,13,0.5765992,0.42340082,Half2,27,0,1441,2021_08_NE_LAC,NE,1,10,31,3,309,7,4,3.1,-1,-1,1,14,10,0,1132,13,14,27,24,-1,3,4,1.857142857,3.5,102.9285714,103,0,0
213700,2021-10-31,2912,punt,PUNT,0,CHI,CHI,SF,22,33,16,15,0.5710472,0.4289528,Half2,21,0,1031,2021_08_SF_CHI,SF,1,6,52,8,279,6,2,8.666666667,-1,-1,1,18,6,0,752,15,16,33,22,-1,11,12,2.5,9,57.27777778,34.875,0,0
214433,2021-11-07,3253,punt,PUNT,0,ARI,SF,ARI,17,31,14,31,0.97684014,0.023159862,Half2,27,0,671,2021_09_ARI_SF,SF,1,7,28,3,154,8,2,4,-17,-1,-1,3,0,0,517,14,31,17,31,-17,-14,3,1.75,1.5,223.6666667,51.33333333,0,0
214638,2021-11-07,4101,punt,PUNT,0,ATL,NO,ATL,25,27,19,24,0.7288337,0.27116632,Half2,26,0,179,2021_09_ATL_NO,NO,1,5,43,7,105,9,1,8.6,-5,-1,-1,6,3,0,74,19,24,25,27,-5,-2,3,2.111111111,6,29.83333333,15,0,0
217192,2021-11-14,834,punt,PUNT,0,NYJ,NYJ,BUF,17,45,0,10,0.19611669,0.8038833,Half1,26,0,2918,2021_10_BUF_NYJ,BUF,0,3,-9,0,163,2,9,-3,10,1,1,35,17,0,2755,10,0,45,17,10,28,18,5,3.888888889,83.37142857,#DIV/0!,0,0
217710,2021-11-14,992,punt,PUNT,0,PIT,PIT,DET,16,16,7,0,0.67903763,0.32096237,Half1,48,0,2667,2021_10_DET_PIT,DET,1,3,39,7,88,3,11,13,-7,-1,0,16,9,0,2579,0,7,16,16,-7,0,7,0,1.454545455,166.6875,12.57142857,0,0
218097,2021-11-14,769,punt,PUNT,0,LV,LV,KC,14,41,0,7,0.32496205,0.675038,Half1,37,0,2745,2021_10_KC_LV,KC,1,9,53,3,273,2,8,5.888888889,7,1,1,34,14,0,2472,7,0,41,14,7,27,20,3.5,4.25,80.73529412,91,0,0
218416,2021-11-14,290,punt,PUNT,0,LAC,LAC,MIN,20,27,0,0,0.5388197,0.46118033,Half1,45,0,3291,2021_10_MIN_LAC,MIN,0,3,-1,0,69,1,9,-0.3333333333,0,0,1,27,20,0,3222,0,0,27,20,0,7,7,0,3,121.8888889,#DIV/0!,0,0
222471,2021-11-25,1414,punt,PUNT,0,DET,DET,CHI,14,16,7,3,0.7380005,0.2619995,Half1,22,0,2136,2021_12_CHI_DET,CHI,1,2,69,7,52,3,7,34.5,-4,-1,1,13,7,0,2084,3,7,16,14,-4,2,6,1,1.857142857,164.3076923,7.428571429,0,0
222625,2021-11-28,1158,punt,PUNT,0,CLE,BAL,CLE,16,10,3,0,0.27251944,0.72748053,Half1,22,0,2566,2021_12_CLE_BAL,BAL,1,17,59,3,521,2,9,3.470588235,3,1,1,13,10,0,2045,3,0,16,10,3,6,3,1.5,1.444444444,197.3846154,173.6666667,0,0
223132,2021-11-25,122,punt,PUNT,0,DAL,DAL,LV,33,36,0,0,0.501189,0.498811,Half1,21,0,3495,2021_12_LV_DAL,LV,1,3,71,7,75,0,13,23.66666667,0,0,1,36,33,0,3420,0,0,36,33,0,3,3,#DIV/0!,2.769230769,97.08333333,10.71428571,0,0
226387,2021-12-05,1548,punt,PUNT,0,NYJ,NYJ,PHI,18,33,18,21,0.32450476,0.67549527,Half1,20,0,1942,2021_13_PHI_NYJ,PHI,1,10,34,3,111,3,5,3.4,3,1,1,12,0,0,1831,21,18,33,18,3,15,12,7,2.4,161.8333333,37,0,0
226535,2021-12-05,1101,punt,PUNT,0,SEA,SEA,SF,30,23,7,14,0.2488806,0.7511194,Half1,22,0,2700,2021_13_SF_SEA,SF,1,9,31,3,302,4,8,3.444444444,7,1,-1,9,23,0,2398,14,7,23,30,7,-7,-14,3.5,1.125,300,100.6666667,0,0
227616,2021-12-12,299,punt,PUNT,0,GB,GB,CHI,45,30,0,0,0.54606485,0.45393515,Half1,34,0,3262,2021_14_CHI_GB,CHI,1,10,39,3,287,1,12,3.9,0,0,-1,30,45,0,2975,0,0,30,45,0,-15,-15,0,2.5,108.7333333,95.66666667,0,0
227678,2021-12-12,1759,punt,PUNT,0,GB,GB,CHI,45,30,14,23,0.4425503,0.5574497,Half1,97,1,1914,2021_14_CHI_GB,CHI,1,6,32,10,44,5,8,5.333333333,9,1,-1,7,31,1,1870,23,14,30,45,9,-15,-24,4.6,0.875,273.4285714,4.4,0,0
228711,2021-12-12,1002,punt,PUNT,0,NO,NYJ,NO,9,30,0,3,0.5896511,0.4103489,Half1,28,0,2604,2021_14_NO_NYJ,NYJ,1,9,38,3,190,3,9,4.222222222,-3,-1,-1,9,27,0,2414,0,3,9,30,-3,-21,-18,0,1,289.3333333,63.33333333,0,0
229371,2021-12-12,3117,punt,PUNT,0,HOU,HOU,SEA,13,33,13,19,0.20534627,0.7946537,Half2,22,0,711,2021_14_SEA_HOU,SEA,1,10,67,8,250,7,3,6.7,6,1,1,14,0,0,461,19,13,33,13,6,20,14,2.714285714,4.666666667,50.78571429,31.25,0,0
229936,2021-12-19,3175,punt,PUNT,0,SF,SF,ATL,31,13,31,13,0.9903138,0.009686172,Half2,23,0,588,2021_15_ATL_SF,ATL,0,10,46,0,268,8,1,4.6,-18,-1,-1,0,0,0,320,13,31,13,31,-18,-18,0,1.625,0,#DIV/0!,#DIV/0!,0,0
230801,2021-12-19,2707,punt,PUNT,0,HOU,JAX,HOU,16,30,13,23,0.8212673,0.1787327,Half2,48,0,1133,2021_15_HOU_JAX,JAX,0,3,8,0,97,6,5,2.666666667,-10,-1,-1,3,7,0,1036,13,23,16,30,-10,-14,-4,2.166666667,0.6,377.6666667,#DIV/0!,0,0
231060,2021-12-20,219,punt,PUNT,0,CLE,CLE,LV,14,16,0,0,0.48805323,0.5119468,Half1,29,0,3366,2021_15_LV_CLE,LV,1,11,58,7,432,0,10,5.272727273,0,0,1,16,14,0,2934,0,0,16,14,0,2,2,#DIV/0!,1.6,210.375,61.71428571,0,0
231093,2021-12-20,1059,punt,PUNT,0,LV,CLE,LV,14,16,0,7,0.69977576,0.30022424,Half1,20,0,2569,2021_15_LV_CLE,CLE,0,3,8,0,125,2,8,2.666666667,-7,-1,-1,14,9,0,2444,0,7,14,16,-7,-2,5,0,1.75,183.5,#DIV/0!,0,0
231621,2021-12-19,766,punt,PUNT,0,TB,TB,NO,0,9,0,3,0.47264323,0.52735674,Half1,34,0,2942,2021_15_NO_TB,NO,1,8,40,3,233,2,10,5,3,1,1,6,0,0,2709,3,0,9,0,3,9,6,1.5,0.6,490.3333333,77.66666667,0,0
232123,2021-12-19,347,punt,PUNT,0,PIT,PIT,TEN,19,13,0,0,0.4986434,0.5013566,Half1,55,0,3329,2021_15_TEN_PIT,TEN,1,6,25,7,149,1,10,4.166666667,0,0,-1,13,19,0,3180,0,0,13,19,0,-6,-6,0,1.3,256.0769231,21.28571429,0,0
232854,2021-12-26,972,punt,PUNT,0,SEA,SEA,CHI,24,25,7,0,0.6441189,0.3558811,Half1,28,0,2633,2021_16_CHI_SEA,CHI,1,5,15,7,205,2,7,3,-7,-1,1,25,17,0,2428,0,7,25,24,-7,1,8,0,3.571428571,105.32,29.28571429,1,0
233541,2021-12-25,2288,punt,PUNT,0,IND,ARI,IND,16,22,6,12,0.7116221,0.28837788,Half2,48,0,1650,2021_16_IND_ARI,ARI,1,3,42,7,82,4,5,14,-6,-1,-1,10,10,0,1568,6,12,16,22,-6,-6,0,1.5,2,165,11.71428571,0,0
233914,2021-12-26,2568,punt,PUNT,0,MIN,MIN,LA,23,30,10,19,0.35968894,0.64031106,Half2,61,1,1342,2021_16_LA_MIN,LA,1,11,75,14,335,8,3,6.818181818,9,1,1,11,13,0,1007,19,10,30,23,9,7,-2,2.375,3.666666667,122,23.92857143,0,0
234421,2021-12-26,2496,punt,PUNT,0,NYG,PHI,NYG,34,10,10,3,0.17826015,0.82173985,Half2,39,0,1502,2021_16_NYG_PHI,PHI,1,4,2,3,119,7,5,0.5,7,1,1,24,7,0,1383,10,3,34,10,7,24,17,1.428571429,4.8,62.58333333,39.66666667,0,0
234679,2021-12-26,3997,punt,PUNT,0,KC,KC,PIT,36,10,36,10,0.99987376,0.00012624264,Half2,20,0,148,2021_16_PIT_KC,PIT,0,10,54,0,136,9,1,5.4,-26,-1,-1,0,0,1,12,10,36,10,36,-26,-26,0,1.111111111,0,#DIV/0!,#DIV/0!,1,0
234951,2021-12-26,2222,punt,PUNT,0,CAR,CAR,TB,6,32,6,19,0.088432774,0.9115672,Half2,20,0,1663,2021_16_TB_CAR,TB,1,9,51,3,236,5,5,5.666666667,13,1,1,13,0,0,1427,19,6,32,6,13,26,13,3.8,2.6,127.9230769,78.66666667,0,0
235065,2021-12-26,658,punt,PUNT,0,WAS,DAL,WAS,56,14,7,0,0.27996972,0.7200303,Half1,21,0,3082,2021_16_WAS_DAL,DAL,1,8,74,7,180,2,10,9.25,7,1,1,49,14,0,2902,7,0,56,14,7,42,35,3.5,4.9,62.89795918,25.71428571,0,0
236635,2022-01-02,577,punt,PUNT,0,CIN,CIN,KC,34,31,0,7,0.373063,0.62693703,Half1,29,0,3113,2021_17_KC_CIN,KC,1,7,63,7,230,2,6,9,7,1,-1,24,34,0,2883,7,0,31,34,7,-3,-10,3.5,4,129.7083333,32.85714286,0,0
236992,2022-01-02,660,punt,PUNT,0,IND,IND,LV,20,23,0,7,0.35451648,0.6454835,Half1,41,0,2877,2021_17_LV_IND,LV,1,4,6,3,210,2,7,1.5,7,1,1,16,20,0,2667,7,0,23,20,7,3,-4,3.5,2.285714286,179.8125,70,0,0
237387,2022-01-02,2097,punt,PUNT,0,MIN,GB,MIN,37,10,20,3,0.053397425,0.9466026,Half2,21,0,1712,2021_17_MIN_GB,GB,1,7,37,7,231,6,4,5.285714286,17,1,1,17,7,0,1481,20,3,37,10,17,27,10,3.333333333,4.25,100.7058824,33,1,0
238757,2022-01-09,1929,punt,PUNT,0,DET,DET,GB,37,30,17,13,0.61872834,0.38127166,Half2,23,0,1785,2021_18_GB_DET,GB,0,3,1,0,92,4,6,0.3333333333,-4,-1,-1,17,20,0,1693,13,17,30,37,-4,-7,-3,3.25,2.833333333,105,#DIV/0!,0,0
240063,2022-01-09,3133,punt,PUNT,0,BAL,BAL,PIT,13,16,10,6,0.6854381,0.3145619,Half2,23,0,499,2021_18_PIT_BAL,PIT,1,10,50,7,313,10,3,5,-4,-1,1,10,3,0,186,6,10,16,13,-4,3,7,0.6,3.333333333,49.9,44.71428571,0,1
240360,2022-01-09,1063,punt,PUNT,0,SF,LA,SF,24,27,10,0,0.13728641,0.8627136,Half1,31,0,2308,2021_18_SF_LA,LA,1,3,19,7,90,2,8,6.333333333,10,1,-1,14,27,0,2218,10,0,24,27,10,-3,-13,5,1.75,164.8571429,12.85714286,0,0
241308,2022-01-15,3170,punt,PUNT,0,NE,BUF,NE,47,17,40,10,7.21E-05,0.9999279,Half2,52,0,632,2021_19_NE_BUF,BUF,1,3,39,3,96,6,1,13,30,1,1,7,7,0,536,40,10,47,17,30,30,0,6.666666667,7,90.28571429,32,0,0
241479,2022-01-16,3334,punt,PUNT,0,TB,TB,PHI,31,15,31,0,0.99982786,0.00017213821,Half2,31,0,784,2021_19_PHI_TB,PHI,1,2,65,7,40,9,2,32.5,-31,-1,-1,15,0,0,744,0,31,15,31,-31,-16,15,0,7.5,52.26666667,5.714285714,0,0
241526,2022-01-16,118,punt,PUNT,0,PIT,KC,PIT,42,21,0,0,0.35344067,0.64655936,Half1,21,0,3512,2021_19_PIT_KC,KC,0,3,2,0,80,0,12,0.6666666667,0,0,1,42,21,0,3432,0,0,42,21,0,21,21,#DIV/0!,3.5,83.61904762,#DIV/0!,1,0
241543,2022-01-16,499,punt,PUNT,0,PIT,KC,PIT,42,21,0,0,0.3379735,0.6620265,Half1,48,0,3106,2021_19_PIT_KC,KC,0,1,0,0,8,2,10,0,0,0,1,42,21,0,3098,0,0,42,21,0,21,21,0,4.2,73.95238095,#DIV/0!,1,0
242025,2022-01-23,3078,punt,PUNT,0,BUF,KC,BUF,42,36,23,21,0.27267495,0.7273251,Half2,45,0,704,2021_20_BUF_KC,KC,1,4,6,3,153,7,4,1.5,2,1,1,19,15,0,551,23,21,42,36,2,6,4,3.285714286,4.75,37.05263158,51,0,0
242300,2022-01-23,1208,punt,PUNT,0,TB,TB,LA,27,30,3,17,0.13366272,0.8663373,Half1,21,0,2610,2021_20_LA_TB,LA,0,3,-3,0,46,3,12,-1,14,1,1,13,24,0,2564,17,3,30,27,14,3,-11,5.666666667,1.083333333,200.7692308,#DIV/0!,0,0
242354,2022-01-23,2481,punt,PUNT,0,TB,TB,LA,27,30,3,20,0.041715167,0.95828485,Half2,33,0,1539,2021_20_LA_TB,LA,1,6,28,7,198,7,8,4.666666667,17,1,1,10,24,0,1341,20,3,30,27,17,3,-14,2.857142857,1.25,153.9,28.28571429,0,0
242983,2022-02-13,633,punt,PUNT,0,LA,CIN,LA,20,23,0,7,0.65873283,0.34126717,Half1,20,0,2843,2021_22_LA_CIN,CIN,1,6,59,3,101,2,10,9.833333333,-7,-1,-1,20,16,0,2742,0,7,20,23,-7,-3,4,0,2,142.15,33.66666667,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05730659026,0.04297994269