Teams,Year,Players,QBX,RBX,WRX,TEX,OLX,DLX,LBX,DBX,Special TeamsX,TotalX,QB,RB,WR,TE,OL,DL,LB,DB,Special Teams,Total,QB Adjusted,RB Adjusted,WR Adjusted,TE Adjusted,OL Adjusted,DL Adjusted,LB Adjusted,DB Adjusted,Special Teams Adjusted,Total Adjusted
Arizona Cardinals,2017,53,4.9M,1.6M,15.6M,9.1M,7.5M,11.9M,27.6M,37.0M,5.6M,120.8M,4.9,1.6,15.6,9.1,7.5,11.9,27.6,37,5.6,120.8,6.1397,2.0048,19.5468,11.4023,9.3975,14.9107,34.5828,46.361,7.0168,7.6930441
Atlanta Falcons,2017,53,25.3M,10.3M,27.2M,5.5M,24.5M,30.0M,4.8M,31.8M,6.2M,165.5M,25.3,10.3,27.2,5.5,24.5,30,4.8,31.8,6.2,165.5,31.7009,12.9059,34.0816,6.8915,30.6985,37.59,6.0144,39.8454,7.7686,39.7212277
Baltimore Ravens,2017,53,24.1M,6.0M,16.5M,5.1M,16.0M,14.8M,15.1M,27.7M,8.6M,133.8M,24.1,6,16.5,5.1,16,14.8,15.1,27.7,8.6,133.8,30.1973,7.518,20.6745,6.3903,20.048,18.5444,18.9203,34.7081,10.7758,37.8372169
Buffalo Bills,2017,52,16.8M,11.7M,4.6M,9.5M,21.8M,20.0M,7.1M,17.2M,4.8M,113.5M,16.8,11.7,4.6,9.5,21.8,20,7.1,17.2,4.8,113.5,21.0504,14.6601,5.7638,11.9035,27.3154,25.06,8.8963,21.5516,6.0144,26.3761512
Carolina Panthers,2017,51,23.6M,14.8M,6.5M,9.5M,37.2M,39.3M,16.8M,17.2M,4.7M,169.6M,23.6,14.8,6.5,9.5,37.2,39.3,16.8,17.2,4.7,169.6,29.5708,18.5444,8.1445,11.9035,46.6116,49.2429,21.0504,21.5516,5.8891,37.0522124
Chicago Bears,2017,53,24.3M,3.4M,11.0M,8.6M,27.8M,16.1M,12.9M,20.7M,2.3M,127.2M,24.3,3.4,11,8.6,27.8,16.1,12.9,20.7,2.3,127.2,30.4479,4.2602,13.783,10.7758,34.8334,20.1733,16.1637,25.9371,2.8819,38.1512187
Cincinnati Bengals,2017,52,16.6M,10.0M,22.5M,1.9M,11.8M,27.5M,16.8M,29.1M,4.7M,140.9M,16.6,10,22.5,1.9,11.8,27.5,16.8,29.1,4.7,140.9,20.7998,12.53,28.1925,2.3807,14.7854,34.4575,21.0504,36.4623,5.8891,26.0621494
Cleveland Browns,2017,53,2.6M,5.1M,6.8M,4.2M,30.1M,14.3M,13.6M,14.4M,4.5M,95.6M,2.6,5.1,6.8,4.2,30.1,14.3,13.6,14.4,4.5,95.6,3.2578,6.3903,8.5204,5.2626,37.7153,17.9179,17.0408,18.0432,5.6385,4.0820234
Dallas Cowboys,2017,54,1.2M,9.9M,24.6M,11.3M,25.4M,20.1M,12.7M,8.5M,6.5M,120.2M,1.2,9.9,24.6,11.3,25.4,20.1,12.7,8.5,6.5,120.2,1.5036,12.4047,30.8238,14.1589,31.8262,25.1853,15.9131,10.6505,8.1445,1.8840108
Denver Broncos,2017,53,3.1M,8.9M,27.7M,4.5M,10.4M,8.8M,32.5M,30.3M,4.9M,131.2M,3.1,8.9,27.7,4.5,10.4,8.8,32.5,30.3,4.9,131.2,3.8843,11.1517,34.7081,5.6385,13.0312,11.0264,40.7225,37.9659,6.1397,4.8670279
Detroit Lions,2017,52,27.5M,6.6M,16.8M,5.3M,24.3M,14.1M,12.8M,28.0M,8.3M,143.7M,27.5,6.6,16.8,5.3,24.3,14.1,12.8,28,8.3,143.7,34.4575,8.2698,21.0504,6.6409,30.4479,17.6673,16.0384,35.084,10.3999,43.1752475
Green Bay Packers,2017,53,1.6M,3.1M,36.4M,3.2M,30.3M,15.9M,20.2M,16.7M,5.5M,132.9M,1.6,3.1,36.4,3.2,30.3,15.9,20.2,16.7,5.5,132.9,2.0048,3.8843,45.6092,4.0096,37.9659,19.9227,25.3106,20.9251,6.8915,2.5120144
Houston Texans,2017,53,2.3M,10.7M,21.2M,1.1M,14.8M,3.6M,19.7M,31.5M,3.5M,108.4M,2.3,10.7,21.2,1.1,14.8,3.6,19.7,31.5,3.5,108.4,2.8819,13.4071,26.5636,1.3783,18.5444,4.5108,24.6841,39.4695,4.3855,3.6110207
Indianapolis Colts,2017,53,3.1M,6.0M,17.4M,7.9M,16.2M,16.5M,14.4M,9.7M,3.6M,94.6M,3.1,6,17.4,7.9,16.2,16.5,14.4,9.7,3.6,94.6,3.8843,7.518,21.8022,9.8987,20.2986,20.6745,18.0432,12.1541,4.5108,4.8670279
Jacksonville Jaguars,2017,53,8.4M,15.9M,13.8M,5.1M,23.7M,57.5M,21.6M,36.2M,3.4M,185.6M,8.4,15.9,13.8,5.1,23.7,57.5,21.6,36.2,3.4,185.6,10.5252,19.9227,17.2914,6.3903,29.6961,72.0475,27.0648,45.3586,4.2602,13.1880756
Kansas City Chiefs,2017,51,22.1M,5.7M,4.4M,11.5M,32.1M,18.8M,34.0M,20.8M,5.2M,154.5M,22.1,5.7,4.4,11.5,32.1,18.8,34,20.8,5.2,154.5,27.6913,7.1421,5.5132,14.4095,40.2213,23.5564,42.602,26.0624,6.5156,34.6971989
Los Angeles Chargers,2017,53,22.5M,5.1M,23.3M,7.4M,23.2M,24.9M,23.1M,15.6M,2.2M,147.4M,22.5,5.1,23.3,7.4,23.2,24.9,23.1,15.6,2.2,147.4,28.1925,6.3903,29.1949,9.2722,29.0696,31.1997,28.9443,19.5468,2.7566,35.3252025
Los Angeles Rams,2017,53,7.8M,6.0M,25.3M,3.2M,22.7M,16.5M,41.5M,23.4M,4.8M,151.3M,7.8,6,25.3,3.2,22.7,16.5,41.5,23.4,4.8,151.3,9.7734,7.518,31.7009,4.0096,28.4431,20.6745,51.9995,29.3202,6.0144,12.2460702
Miami Dolphins,2017,53,12.5M,3.7M,12.7M,4.9M,17.6M,41.2M,16.9M,24.2M,2.2M,135.9M,12.5,3.7,12.7,4.9,17.6,41.2,16.9,24.2,2.2,135.9,15.6625,4.6361,15.9131,6.1397,22.0528,51.6236,21.1757,30.3226,2.7566,19.6251125
Minnesota Vikings,2017,53,4.3M,6.7M,13.7M,8.4M,23.8M,36.4M,9.2M,39.9M,1.8M,144.2M,4.3,6.7,13.7,8.4,23.8,36.4,9.2,39.9,1.8,144.2,5.3879,8.3951,17.1661,10.5252,29.8214,45.6092,11.5276,49.9947,2.2554,6.7510387
New England Patriots,2017,52,22.0M,13.7M,12.8M,16.9M,18.7M,14.0M,11.1M,38.4M,7.0M,154.6M,22,13.7,12.8,16.9,18.7,14,11.1,38.4,7,154.6,27.566,17.1661,16.0384,21.1757,23.4311,17.542,13.9083,48.1152,8.771,34.540198
New Orleans Saints,2017,51,25.7M,6.9M,7.2M,5.0M,34.3M,18.2M,7.2M,11.8M,4.2M,120.4M,25.7,6.9,7.2,5,34.3,18.2,7.2,11.8,4.2,120.4,32.2021,8.6457,9.0216,6.265,42.9779,22.8046,9.0216,14.7854,5.2626,40.3492313
New York Giants,2017,54,23.1M,7.1M,4.2M,8.3M,11.7M,47.1M,4.9M,15.8M,3.8M,125.9M,23.1,7.1,4.2,8.3,11.7,47.1,4.9,15.8,3.8,125.9,28.9443,8.8963,5.2626,10.3999,14.6601,59.0163,6.1397,19.7974,4.7614,36.2672079
New York Jets,2017,53,1.9M,4.9M,7.7M,2.4M,23.3M,30.3M,9.5M,22.9M,2.1M,105.0M,1.9,4.9,7.7,2.4,23.3,30.3,9.5,22.9,2.1,105,2.3807,6.1397,9.6481,3.0072,29.1949,37.9659,11.9035,28.6937,2.6313,2.9830171
Oakland Raiders,2017,53,26.5M,7.7M,23.5M,8.0M,36.5M,12.0M,14.6M,28.7M,4.8M,162.4M,26.5,7.7,23.5,8,36.5,12,14.6,28.7,4.8,162.4,33.2045,9.6481,29.4455,10.024,45.7345,15.036,18.2938,35.9611,6.0144,41.6052385
Philadelphia Eagles,2017,53,6.1M,3.8M,22.3M,15.6M,33.0M,53.2M,14.6M,22.9M,2.9M,174.3M,6.1,3.8,22.3,15.6,33,53.2,14.6,22.9,2.9,174.3,7.6433,4.7614,27.9419,19.5468,41.349,66.6596,18.2938,28.6937,3.6337,9.5770549
Pittsburgh Steelers,2017,53,24.8M,14.2M,21.4M,7.7M,37.7M,26.8M,11.6M,27.5M,1.7M,173.5M,24.8,14.2,21.4,7.7,37.7,26.8,11.6,27.5,1.7,173.5,31.0744,17.7926,26.8142,9.6481,47.2381,33.5804,14.5348,34.4575,2.1301,38.9362232
Seattle Seahawks,2017,53,22.8M,5.9M,14.8M,13.1M,31.0M,18.1M,21.1M,25.4M,4.1M,156.3M,22.8,5.9,14.8,13.1,31,18.1,21.1,25.4,4.1,156.3,28.5684,7.3927,18.5444,16.4143,38.843,22.6793,26.4383,31.8262,5.1373,35.7962052
San Francisco 49ers,2017,53,1.8M,7.2M,7.6M,4.0M,17.3M,21.8M,12.6M,10.6M,3.6M,86.5M,1.8,7.2,7.6,4,17.3,21.8,12.6,10.6,3.6,86.5,2.2554,9.0216,9.5228,5.012,21.6769,27.3154,15.7878,13.2818,4.5108,2.8260162
Tampa Bay Buccaneers,2017,53,10.5M,10.1M,17.5M,1.7M,10.8M,39.5M,13.2M,19.7M,4.8M,127.8M,10.5,10.1,17.5,1.7,10.8,39.5,13.2,19.7,4.8,127.8,13.1565,12.6553,21.9275,2.1301,13.5324,49.4935,16.5396,24.6841,6.0144,16.4850945
Tennessee Titans,2017,53,9.5M,8.8M,21.2M,10.1M,16.3M,25.2M,27.4M,32.1M,6.6M,157.1M,9.5,8.8,21.2,10.1,16.3,25.2,27.4,32.1,6.6,157.1,11.9035,11.0264,26.5636,12.6553,20.4239,31.5756,34.3322,40.2213,8.2698,14.9150855
Washington Redskins,2017,53,26.9M,2.8M,5.8M,7.7M,17.4M,13.4M,20.4M,30.2M,3.2M,127.9M,26.9,2.8,5.8,7.7,17.4,13.4,20.4,30.2,3.2,127.9,33.7057,3.5084,7.2674,9.6481,21.8022,16.7902,25.5612,37.8406,4.0096,42.2332421