Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Rashard Mendenhall,ARI,2013,N,1,2500000,2500000,120046145,0.02082532513,15,462,446,8,7,3,55,217,687,3.165898618,8,392,4,12,19,18,134,7.444444444,0,8.8,821,1540,5542,36,0.4461038961,0.1481414652,0.2222222222,3295000,3295000,158220819.1
Steven Jackson,ATL,2013,N,3,12000000,4000000,122214225,0.03272941427,12,419,403,15,1,6,68,157,543,3.458598726,6,319,0,8,44,33,191,5.787878788,1,6.3,734,1247,5490,37,0.4354450682,0.1336976321,0.1891891892,5272000,15816000,161078348.6
Ray Rice,BAL,2013,N,5,35000000,7000000,124106848,0.0564030117,15,710,667,16,27,13,120,214,660,3.08411215,4,326,2,14,70,58,321,5.534482759,0,6.3,981,1328,4918,26,0.4969879518,0.1994713298,0.1538461538,9226000,46130000,163572825.7
CJ Spiller,BUF,2013,Y,5,25672087,5134417.4,115151649,0.0445883098,15,390,386,0,4,7,20,202,930,4.155339806,2,456,4,22,40,33,185,12.80769231,0,7,1189,2307,5410,31,0.4031209363,0.2345630302,0.06451612903,6767162.133,33835810.67,151769873.4
DeAngelo Williams,CAR,2013,N,3,10000000,3333333.333,110531645,0.03015727608,16,494,469,13,2,2,61,206,856,4.633217993,3,476,3,21,32,26,333,8.027027027,1,15.1,1933,2026,5069,38,0.4225074038,0.3164183991,0.1052631579,4393333.333,13180000,145680708.1
Matt Forte,CHI,2013,N,4,30400000,7600000,127169835,0.05976260015,16,931,881,26,23,16,145,289,1339,4.633217993,9,684,3,41,86,74,594,8.027027027,3,7.4,1933,1828,6109,45,0.7324945295,0.3281276524,0.2666666667,10016800,40067200,167609842.5
BenJarvus Green-Ellis,CIN,2013,N,3,9000000,3000000,127066245,0.02360973207,17,481,474,0,5,4,67,228,798,3.5,7,464,2,14,5,4,22,5.5,0,2.3,820,1755,5891,47,0.4547008547,0.1512078186,0.1489361702,3954000,11862000,167473310.9
Willis McGahee,CLE,2013,N,1,940000,940000,110066758,0.008540271532,13,267,264,1,1,4,35,138,377,2.731884058,2,243,1,6,10,8,20,2.5,0,1.3,397,1383,5423,30,0.2725958062,0.0727372664,0.06666666667,1238920,1238920,145067987
Demarco Murray,DAL,2013,Y,4,2973438,743359.5,116240089,0.006395035537,13,678,655,7,16,7,110,217,1124,5.179723502,9,588,4,32,61,53,350,6.603773585,1,7.4,1474,1504,5458,45,0.7473404255,0.2014486812,0.2222222222,979747.821,3918991.284,153204437.3
Knowshon Moreno,DEN,2013,Y,5,17075000,3415000,133202250,0.02563770507,19,833,786,9,33,8,90,283,1196,4.22614841,11,564,2,30,79,66,602,9.121212121,3,8.2,1798,1873,7317,71,0.6385477843,0.245729124,0.1971830986,4500970,22504850,175560565.5
Reggie Bush,DET,2013,N,4,16000000,4000000,119769250,0.03339755405,13,614,477,74,44,3,39,223,1006,4.511210762,4,468,5,29,76,54,506,9.37037037,3,8.9,1512,1792,6274,34,0.5613839286,0.2409945808,0.2058823529,5272000,21088000,157855871.5
Eddie Lacy,GB,2013,Y,4,3392412,848103,120681853,0.007027593453,15,717,712,2,3,4,113,305,1259,4.127868852,11,693,2,29,44,37,264,7.135135135,0,8.9,1523,2136,6404,42,0.5894194757,0.2378201124,0.2619047619,1117799.754,4471199.016,159058682.3
Ben Tate,HOU,2013,Y,4,3377000,844250,123826813,0.00681799022,14,482,449,9,21,8,69,181,771,4.259668508,4,431,5,20,42,34,140,4.117647059,0,5,911,1743,5556,26,0.4423407917,0.1639668826,0.1538461538,1112721.5,4450886,163203739.5
Donald Brown,IND,2013,Y,5,10435000,2087000,129046015,0.01617252575,18,561,444,4,21,11,108,130,655,5.038461538,8,393,1,51,38,32,264,8.25,3,9.3,919,1743,5468,38,0.3757888698,0.1680687637,0.2894736842,2750666,13753330,170082647.8
Maurice Jones-Drew,JAX,2013,N,5,31100000,6220000,120190441,0.05175120374,15,649,612,15,22,0,110,234,803,3.431623932,5,516,1,17,53,43,314,7.302325581,0,7.6,1117,1260,4701,23,0.6373015873,0.2376090194,0.2173913043,8197960,40989800,158411001.2
Jamaal Charles,KC,2013,N,6,27970000,4661666.667,136631412,0.03411855735,16,853,788,10,53,10,110,263,1297,4.931558935,12,588,4,37,95,70,693,9.9,7,9.6,1990,2056,5396,41,0.6308365759,0.3687916976,0.4634146341,6144076.667,36864460,180080201
Rashad Jennings,OAK/LV,2013,N,1,630000,630000,121534233,0.005183724655,15,651,512,11,23,12,114,163,733,4.496932515,6,456,0,10,39,36,292,8.111111111,0,9,1025,2000,5340,33,0.3665,0.1919475655,0.1818181818,830340,830340,160182119.1
Ryan Mathews,SD/LAC,2013,Y,4,18920000,4730000,120452285,0.03926866145,18,497,484,4,9,3,20,302,1329,4.400662252,6,689,2,28,31,28,201,7.178571429,1,7.6,1530,1965,6293,41,0.6763358779,0.2431272843,0.1707317073,6234140,24936560,158756111.6
Zac Stacy,STL/LAR,2013,Y,4,2336500,584125,124333057,0.004698066742,12,572,554,5,12,3,66,250,976,3.904,7,612,1,23,33,26,141,5.423076923,1,6,1117,1752,4877,21,0.5570776256,0.2290342424,0.380952381,769876.75,3079507,163870969.1
Lamar Miller,MIA,2013,Y,4,2586000,646500,112354370,0.005754115305,15,624,577,35,12,7,127,177,709,4.005649718,2,364,1,16,30,26,170,6.538461538,0,7.7,879,1440,5007,32,0.4923611111,0.1755542241,0.0625,852087,3408348,148083059.7
Adrian Peterson,MIN,2013,N,6,86280000,14380000,129239778,0.1112660531,14,675,664,1,10,10,106,279,1266,4.537634409,10,829,5,31,37,29,171,5.896551724,1,5.9,1437,2081,5508,41,0.6083613647,0.2608932462,0.2682926829,18952840,113717040,170338027.4
Stevan Ridley,NE,2013,Y,4,2953500,738375,124037085,0.005952856761,16,366,363,1,2,3,45,197,841,4.269035533,9,421,4,18,12,10,62,6.2,0,6,903,2065,6152,44,0.4072639225,0.1467815345,0.2045454545,973178.25,3892713,163480878
Pierre Thomas,NO,2013,N,4,11200000,2800000,123794167,0.02261819008,16,630,534,27,4,7,70,147,549,3.734693878,2,323,1,18,82,77,513,6.662337662,3,8.6,1062,1473,6391,49,0.3727087576,0.1661711782,0.1020408163,3690400,14761600,163160712.1
Andre Brown,NYG,2013,N,1,2023000,2023000,129256355,0.01565106799,8,361,355,2,4,6,68,139,494,3.553956835,3,285,3,16,27,20,103,5.15,0,6.2,597,1332,4920,29,0.3708708709,0.1213414634,0.1034482759,2666314,2666314,170359875.9
Chris Ivory,NYJ,2013,N,3,6000000,2000000,122960176,0.0162654289,15,331,323,2,4,5,37,182,833,4.576923077,3,548,2,17,8,2,10,5,0,4,843,2158,5090,25,0.3860055607,0.1656188605,0.12,2636000,7908000,162061512
LeSean Mccoy,PHI,2013,N,5,45000000,9000000,126997784,0.07086737828,17,929,905,19,4,9,72,225,1684,7.484444444,10,783,1,48,64,56,554,9.892857143,2,11.2,2238,2566,6676,51,0.656274357,0.3352306771,0.2352941176,11862000,59310000,167383079.3
Leveon Bell,PIT,2013,Y,4,4120600,1030150,125459344,0.008211026514,12,680,582,65,24,8,72,244,860,3.524590164,8,516,1,13,62,45,399,8.866666667,0,10.1,1259,1383,5400,37,0.6218365871,0.2331481481,0.2162162162,1357737.7,5430950.8,165355415.4
Frank Gore,SF,2013,N,3,19212550,6404183.333,122183675,0.05241439442,19,894,871,5,16,6,181,324,1292,3.987654321,10,661,3,34,31,19,177,9.315789474,0,6.2,1469,2201,5180,39,0.5870059064,0.2835907336,0.2564102564,8440713.633,25322140.9,161038083.7
Marshawn Lynch,SEA,2013,N,4,30000000,7500000,133725553,0.05608501765,19,858,817,7,33,4,90,366,1550,4.234972678,16,956,5,43,46,37,319,8.621621622,2,7.8,1869,2188,5424,41,0.7084095064,0.344579646,0.4390243902,9885000,39540000,176250278.9
Doug Martin,TB,2013,Y,4,6787816,1696954,127779333,0.01328034793,6,308,297,1,9,5,52,127,4456,35.08661417,1,274,1,11,24,12,66,5.5,0,5.1,4522,1612,4432,28,2.76426799,1.020306859,0.03571428571,2236585.372,8946341.488,168413160.9
Chris Johnson,TEN,2013,N,4,53975000,13493750,127458573,0.1058677316,16,803,744,9,50,8,91,279,1077,3.860215054,6,513,3,23,51,42,348,8.285714286,4,9.4,1425,1894,5390,38,0.5686378036,0.2643784787,0.2631578947,17784762.5,71139050,167990399.2
Alfred Morris,WAS,2013,Y,4,2223100,555775,107385220,0.005175526017,16,605,592,0,13,4,78,276,1275,4.619565217,7,748,5,29,11,9,78,8.666666667,0,8.8,1353,2164,5915,34,0.5891866913,0.2287404903,0.2058823529,732511.45,2930045.8,141533720